Typ;Praca;Procent
Ca³kowicie niezale¿ni;Studenci/uczniowie;6
Czêœciowo niezale¿ni;Studenci/uczniowie;18
Ca³kowicie zale¿ni;Studenci/uczniowie;76
Ca³kowicie niezale¿ni;Pracuj¹cy;73
Czêœciowo niezale¿ni;Pracuj¹cy;23
Ca³kowicie zale¿ni;Pracuj¹cy;4
Ca³kowicie niezale¿ni;Bezrobotni;14
Czêœciowo niezale¿ni;Bezrobotni;30
Ca³kowicie zale¿ni;Bezrobotni;56
Ca³kowicie niezale¿ni;Renciœci;46
Czêœciowo niezale¿ni;Renciœci;23
Ca³kowicie zale¿ni;Renciœci;31
Ca³kowicie niezale¿ni;Bezrobotni z innych powodów;26
Czêœciowo niezale¿ni;Bezrobotni z innych powodów;44
Ca³kowicie zale¿ni;Bezrobotni z innych powodów;30
