"year","month","value","id_plot"
2013,1,"62.8",24157
2013,2,"62.8",24158
2013,3,"62.8",24159
2013,4,"62.8",24160
2013,5,"62.8",24161
2013,6,"62.8",24162
2013,7,"62.8",24163
2013,8,"62.8",24164
2013,9,"62.8",24165
2013,10,"62.8",24166
2013,11,"62.8",24167
2013,12,"62.8",24168
2014,1,"33.23",24169
2014,2,"33.23",24170
2014,3,"33.23",24171
2014,4,"33.23",24172
2014,5,"33.23",24173
2014,6,"33.23",24174
2014,7,"33.23",24175
2014,8,"33.23",24176
2014,9,"33.23",24177
2014,10,"33.23",24178
2014,11,"33.23",24179
2014,12,"33.23",24180
2015,1,"35.44",24181
2015,2,"35.44",24182
2015,3,"35.44",24183
2015,4,"35.44",24184
2015,5,"35.44",24185
2015,6,"35.44",24186
2015,7,"35.44",24187
2015,8,"35.44",24188
2015,9,"35.44",24189
2015,10,"35.44",24190
2015,11,"35.44",24191
2015,12,"35.44",24192
2016,1,"43.78",24193
2016,2,"43.78",24194
2016,3,"43.78",24195
2016,4,"43.78",24196
2016,5,"43.78",24197
2016,6,"43.78",24198
2016,7,"43.78",24199
2016,8,"43.78",24200
2016,9,"43.78",24201
2016,10,"43.78",24202
2016,11,"43.78",24203
2016,12,"43.78",24204
2017,1,"9",24205
2017,2,"9",24206
2017,3,"9",24207
2017,4,"9",24208
2017,5,"9",24209
2017,6,"9",24210
2017,7,"9",24211
2017,8,"9",24212
2017,9,"9",24213
2017,10,"9",24214
2017,11,"9",24215
2017,12,"9",24216
