"year","month","harvest","id_plot"
2013,1,1900,24157
2013,2,1900,24158
2013,3,1900,24159
2013,4,1900,24160
2013,5,1900,24161
2013,6,1900,24162
2013,7,1900,24163
2013,8,1900,24164
2013,9,1900,24165
2013,10,1900,24166
2013,11,1900,24167
2013,12,1900,24168
2014,1,1700,24169
2014,2,1700,24170
2014,3,1700,24171
2014,4,1700,24172
2014,5,1700,24173
2014,6,1700,24174
2014,7,1700,24175
2014,8,1700,24176
2014,9,1700,24177
2014,10,1700,24178
2014,11,1700,24179
2014,12,1700,24180
2015,1,1300,24181
2015,2,1300,24182
2015,3,1300,24183
2015,4,1300,24184
2015,5,1300,24185
2015,6,1300,24186
2015,7,1300,24187
2015,8,1300,24188
2015,9,1300,24189
2015,10,1300,24190
2015,11,1300,24191
2015,12,1300,24192
2016,1,1600,24193
2016,2,1600,24194
2016,3,1600,24195
2016,4,1600,24196
2016,5,1600,24197
2016,6,1600,24198
2016,7,1600,24199
2016,8,1600,24200
2016,9,1600,24201
2016,10,1600,24202
2016,11,1600,24203
2016,12,1600,24204
2017,1,1600,24205
2017,2,1600,24206
2017,3,1600,24207
2017,4,1600,24208
2017,5,1600,24209
2017,6,1600,24210
2017,7,1600,24211
2017,8,1600,24212
2017,9,1600,24213
2017,10,1600,24214
2017,11,1600,24215
2017,12,1600,24216
