"Indicator";"Country";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"NC, at current prices";"Albania";34277.0;36075.0;34782.9;36451.2;37715.0;36992.8;37322.6;38173.4;
"NC, at current prices";"Armenia";87406.0;96019.0;102652.0;108092.0;140739.0;146524.0;158580.0;171615.0;188851.0
"NC, at current prices";"Austria";2942.8;2989.4;3031.0;3101.3;3187.0;3264.1;3342.6;3405.3;3451.8
"NC, at current prices";"Azerbaijan";274.4;298.0;331.5;364.2;398.4;425.1;444.5;466.9;499.8
"NC, at current prices";"Belarus";868169.0;981584.0;1217313.0;1899782.0;3676083.0;5061418.0;6052367.0;6714997.0;722.0
"NC, at current prices";"Belgium";3191.1;3205.2;3242.4;3367.8;3455.7;3528.5;3555.2;3572.9;3591.4
"NC, at current prices";"Bosnia and Herzegovina";1112.2;1203.2;1216.8;1270.5;1290.0;1291.2;1289.8;1289.0;1300.8
"NC, at current prices";"Bulgaria";538.3;602.2;645.4;696.8;735.9;774.8;817.2;881.8;949.7
"NC, at current prices";"Canada";4431.0;4486.8;4561.9;4729.6;4904.5;5059.3;5214.8;5301.6;5374.4
"NC, at current prices";"Croatia";7544.0;7711.0;7679.0;7795.5;7875.0;7938.8;7953.5;8054.0;7752.5
"NC, at current prices";"Cyprus";2093.2;2160.1;;;;;;;
"NC, at current prices";"Czechia";23391.6;23559.7;24231.1;24914.4;25407.6;25348.3;26039.5;26663.8;27665.4
"NC, at current prices";"Denmark";29690.4;30753.8;31847.2;32455.4;33142.0;33653.2;34548.8;35117.5;36060.7
"NC, at current prices";"Estonia";825.0;784.0;792.0;839.0;887.0;949.0;1005.0;1065.0;1146.0
"NC, at current prices";"Finland";2891.1;2965.7;3056.6;3160.2;3261.3;3295.7;3340.0;3399.1;3434.1
"NC, at current prices";"France";2697.4;2741.6;2823.9;2871.7;2929.3;2974.1;2987.9;3026.2;3067.4
"NC, at current prices";"Georgia";534.9;556.8;597.6;636.0;712.5;773.1;818.0;900.4;
"NC, at current prices";"Germany";2670.8;2668.0;2734.8;2826.8;2911.4;2973.1;3040.8;3131.2;3191.8
"NC, at current prices";"Greece";1740.8;1839.4;1783.3;1703.6;1630.5;1499.5;1472.5;1428.7;1445.6
"NC, at current prices";"Hungary";214387.6;215152.3;223536.6;231308.3;237496.9;242221.6;243759.8;246469.8;259358.8
"NC, at current prices";"Iceland";428000.0;425000.0;431000.0;460000.0;488000.0;526000.0;555000.0;612000.0;
"NC, at current prices";"Ireland";4037.1;4073.3;3950.7;3967.7;3992.3;4023.2;4064.5;4162.6;4278.0
"NC, at current prices";"Israel";7921.0;7974.0;8247.0;8563.0;8784.0;9000.0;9145.0;9347.0;9558.0
"NC, at current prices";"Italy";2257.9;2262.2;2316.9;2350.6;2335.3;2368.5;2386.0;2408.0;2426.2
"NC, at current prices";"Kazakhstan";60805.0;67333.0;77611.0;90028.0;101263.0;109141.0;121021.0;126021.0;143047.0
"NC, at current prices";"Kyrgyzstan";5378.0;6161.0;7189.0;9304.0;10726.0;11341.0;12285.0;13483.0;14479.0
"NC, at current prices";"Latvia";682.0;655.0;633.0;660.0;685.0;716.0;765.0;818.0;859.0
"NC, at current prices";"Lithuania";623.2;595.5;575.8;593.9;611.2;644.4;675.8;713.4;773.6
"NC, at current prices";"Luxembourg";4391.2;4492.0;4591.9;4661.8;4715.6;4845.9;4956.1;5022.6;5030.1
"NC, at current prices";"Malta";1307.9;1734.2;1584.7;1625.0;;;;;
"NC, at current prices";"Moldova, Republic of";2530.0;2748.0;2972.0;3042.0;3386.0;3674.2;4089.7;4538.4;
"NC, at current prices";"Montenegro";609.0;643.0;715.0;722.0;727.0;726.0;723.0;725.0;751.0
"NC, at current prices";"Netherlands";3405.1;3502.1;3555.8;3616.5;3662.2;3761.0;3766.4;3849.2;3892.4
"NC, at current prices";"Norway";34166.0;35389.2;36549.1;38305.8;39725.8;41302.4;42480.2;43568.2;44172.9
"NC, at current prices";"Poland";3137.9;3215.3;3387.4;3556.4;3633.6;3694.5;3765.6;3810.3;3993.2
"NC, at current prices";"Portugal";1341.8;1373.4;1396.2;1388.1;1349.7;1387.7;1367.1;1370.2;1381.2
