Pos Leader Previous Rider Nation Points QAT ARG AME SPA FRA ITA CAT NED GER CZE AUT GBR RSM ARA JPN AUS MAL VAL
1 - - "MARQUEZ Marc" SPA 224 13 - 25 20 - 10 20 16 25 25 20 - 25 25 n n n n
2 16 16 "DOVIZIOSO Andrea" ITA 208 20 - 10 11 13 25 25 11 8 10 25 25 16 9 n n n n
3 28 12 "VINALES Maverick" SPA 196 25 25 - 10 25 20 6 - 13 16 10 20 13 13 n n n n
4 54 26 "PEDROSA Dani" SPA 170 11 - 16 25 16 - 16 3 16 20 16 9 2 20 n n n n
5 56 2 "ROSSI Valentino" ITA 168 16 20 20 6 - 13 8 25 11 13 9 16 - 11 n n n n
6 107 51 "ZARCO Johann" FRA 117 - 11 11 13 20 9 11 2 7 4 11 10 1 7 n n n n
7 118 11 "LORENZO Jorge" SPA 106 5 - 7 16 10 8 13 1 5 1 13 11 - 16 n n n n
8 129 11 "PETRUCCI Danilo" ITA 95 - 9 8 9 - 16 - 20 4 9 - - 20 0 n n n n
9 132 3 "CRUTCHLOW Cal" GBR 92 - 16 13 - 11 - 5 13 6 11 1 13 3 - n n n n
10 140 8 "FOLGER Jonas" GER 84 6 10 5 8 9 3 10 - 20 6 - - 7 0 n n n n
11 154 14 "BAUTISTA Alvaro" SPA 70 - 13 1 - - 11 9 - 10 - 8 6 4 8 n n n n
12 168 14 "MILLER Jack" AUS 56 8 7 6 - 8 1 - 10 1 2 - 0 10 3 n n n n
13 168 0 "REDDING Scott" GBR 56 9 8 4 5 - 4 3 - 0 0 4 8 9 2 n n n n
14 171 3 "ESPARGARO Aleix" SPA 53 10 - 0 7 - - - 6 9 8 3 - - 10 n n n n
15 185 14 "BAZ Loris" FRA 39 4 5 - 3 7 0 4 8 0 - 7 1 0 0 n n n n
16 187 2 "IANNONE Andrea" ITA 37 - 0 9 - 6 6 0 7 - 0 5 - - 4 n n n n
17 187 0 "ESPARGARO Pol" SPA 37 0 2 - - 4 - 0 5 3 7 - 5 5 6 n n n n
18 196 9 "ABRAHAM Karel" CZE 28 2 6 - 1 - 0 2 9 0 3 2 3 0 - n n n n
19 196 0 "RABAT Tito" SPA 28 1 4 3 - 5 5 1 4 0 0 0 4 - 1 n n n n
20 197 1 "RINS Alex" SPA 27 7 - - - - - - 0 0 5 0 7 8 0 n n n n
21 201 4 "BARBERA Hector" SPA 23 3 3 2 4 - 2 7 0 - 0 0 2 - 0 n n n n
22 206 5 "PIRRO Michele" ITA 18 - - - - - 7 - - - - - - 11 - n n n n
23 210 4 "SMITH Bradley" GBR 14 0 1 0 2 3 0 - - 2 - 0 0 6 0 n n n n
24 213 3 "KALLIO Mika" FIN 11 - - - - - - - - 0 - 6 - - 5 n n n n
25 222 9 "LOWES Sam" GBR 2 0 - - 0 2 0 0 - - 0 0 - - 0 n n n n
26 223 1 "GUINTOLI Sylvain" FRA 1 - - - - 1 0 0 - - - - - - - n n n n
27 224 1 "TSUDA Takuya" JPN 0 - - - 0 - - - - - - - - - - n n n n
