Lattitude,Longitude,Name,Location
-95.86116,32.5803,Burger King:  Canton,"17210 Interstate 20 , Canton , TX , (903) 567 5276"
-95.80849,29.53613, Rosenberg,"3118 1st St , Rosenberg  ,TX  , (281) 344 0170"
-95.71913,29.79132, Katy,"1709 N Fry Rd , Katy , TX , (281) 578 6374"
-95.61175,29.91843, Houston,"12929 Fm 1960 Rd W , Houston , TX , (281) 970 0870"
-95.51736,29.6996, Houston,"7406 Fondren Rd , Houston , TX , (713) 774 1101"
-95.50509,29.85147, Houston,"7607 W Tidwell Rd , Houston , TX , (713) 460 3470"
-95.46417,30.00699, Houston,"2306 Fm 1960 Rd W , Houston , TX , (281) 440 6988"
-95.42296,29.68312, Houston,"9349 S Main St , Houston , TX , (713) 661 7041"
-95.41135,29.84741,  Houston,"5605 N Shepherd Dr ,  Houston , TX , (713) 694 3204"
-95.3763,29.70229,  Houston,"3211 Holcombe Blvd ,  Houston , TX , (713) 741 0413"
-95.3407,32.34308, Tyler,"530 S Southwest Loop 323 , Tyler , TX , (903) 595 4687"
-95.27156,32.30713, Tyler,"3904 Troup Hwy , Tyler , TX , (903) 581 5480"
-95.266,32.33216, Tyler,"1602 S Southeast Loop 323 , Tyler , TX , (903) 566 1176"
-95.25826,33.16359, Mount Vernon,"405 Interstate 30 W , Mount Vernon , TX , (903) 588 2471"
-95.24832,29.77423, Houston,"10205 East Fwy , Houston , TX , (713) 674 6449"
-95.22707,32.23061, Whitehouse,"406 State Highway 110 N , Whitehouse , TX , (903) 839 8667"
-95.18578,29.66498, Pasadena,"3834 Spencer Hwy , Pasadena , TX , (713) 946 6310"
-95.08549,30.33653, Cleveland,"601 Southline St , Cleveland , TX , (281) 593 0337"
-94.89021,30.04401, Dayton,"302 W Highway 90 , Dayton , TX , (936) 258 9108"
-94.86714,32.38824, White Oak,"803 Us Highway 259 N , White Oak , TX , (903) 983 5396"
-94.77899,32.52746, Longview,"1623 W Loop 281 , Longview , TX , (903) 297 9937"
-94.75455,32.53878, Longview,"3511 Mccann Rd , Longview , TX , (903) 753 0513"
-94.7264,31.30399," Lufkin,","2301 S 1st St , Lufkin, , TX , (936) 632 9718"
