dzielnica,bezpieczeństwo,sąsiedzi,zieleń,czysta okolica,zadbana okolica,łatwy dojazd,czas wolny,wygodne zakupy,ceny,dzieci,godne polecenia
Zwierzyniec,				5.58,5.19,6.42,5.93,5.39,5.55,3.44,5.25,4.40,5.08,27
Stare Miast,				5.42,4.75,4.79,5.27,5.03,5.84,5.68,6.08,4.39,5.48,-9
Krowodrza,					5.47,4.97,5.20,5.37,5.11,5.84,4.68,5.90,4.52,5.51,17
Bronowice,					5.63,5.05,5.46,5.52,5.18,5.61,4.49,6.01,4.57,5.40,30
Prądnik Biały,				5.37,4.62,5.30,5.29,4.86,5.50,3.71,6.05,4.67,5.34,-5
Prądnik Czerwony,			5.60,5.01,5.32,5.41,5.13,5.72,4.22,6.16,5.00,5.63,19
Mistrzejowice,				5.00,5.00,5.96,5.54,5.39,6.04,4.48,6.44,4.99,6.06,12
Wzgórza Krzesławickie,		5.14,4.66,6.28,5.22,4.69,4.92,2.71,5.35,5.06,5.18,6
Bieńczyce,					4.93,4.82,6.05,5.18,4.89,6.13,4.22,6.21,4.85,6.00,9
Czyżyny,					5.35,5.18,5.74,5.51,5.46,6.04,4.53,6.41,4.90,5.83,19
Nowa Huta,					5.77,4.54,5.85,4.83,4.54,4.15,3.00,3.69,4.42,3.92,-18
Grzegórzki,					5.30,4.68,5.04,5.32,4.83,5.85,4.67,5.49,4.48,5.00,6
Podgórze,					5.52,4.85,5.57,5.48,5.05,5.51,3.63,5.40,4.47,4.84,14
Bieżanów-Prokocim,			5.03,4.74,5.62,5.26,4.94,5.51,3.43,6.03,4.88,5.43,-5
Swoszowice,					4.81,4.88,5.25,4.94,4.56,3.88,3.13,4.38,4.13,4.13,-13
Podgórze Duchackie,			5.26,4.92,5.55,5.58,5.25,5.84,4.16,6.14,4.96,5.77,8
Łagiewniki-Borek Fałęcki,	5.37,4.77,5.40,5.51,5.23,5.63,4.29,5.92,4.88,5.22,25
Dębniki,					5.66,4.98,5.27,5.69,5.26,5.17,4.08,5.77,4.44,5.04,3
