Rank_2016 Nation Nation_Brand_Value_2017 Change Nation_Brand_Value_2016 Nation_Brand_Strength_2017 Nation_Brand_Strength_2016 Continent
1 1 USA 21055 2 20574 AAA- AAA North_America
2 2 China 10209 44 7087 AA AA Asia
3 3 Germany 4021 4 3882 AAA- AAA- Europa
4 4 Japan 3439 15 3002 AAA- AAA Asia
5 5 United_Kingdom 3129 6 2942 AAA AAA Europa
6 6 France 2969 27 2339 AA+ AA+ Europa
7 8 Canada 2056 14 1810 AAA- AAA- North_America
8 7 India 2046 -1 2066 AA AA- Asia
9 9 Italy 2034 34 1521 A+ AA- Europa
10 11 S_Korea 1845 43 1289 AA AA Asia
11 10 Australia 1505 15 1305 AAA- AAA- OC
12 14 Spain 1410 46 966 AA AA Europa
13 15 Mexico 1049 15 915 A+ A+ North_America
14 13 Switzerland 1014 2 998 AAA AAA Europa
15 12 Netherlands 1005 -10 1121 AAA AAA Europa
16 19 Indonesia 845 34 630 AA- AA- Asia
17 18 Russia 832 13 736 A+ A+ Asia
18 16 Brazil 798 -3 820 A A South_America
19 17 Sweden 703 -5 742 AAA AAA- Europa
20 28 Taiwan 625 33 469 AA+ AA+ Asia
21 25 United_Arab_Emirates 594 24 478 AAA AAA Asia
22 23 Saudi_Arabia 575 19 482 AA AA Asia
23 21 Poland 571 11 516 AA- AA- Europa
24 26 Turkey 570 20 474 A+ AA- Asia
25 24 Norway 550 15 478 AAA AAA Europa
26 20 Belgium 548 3 532 AA+ AAA- Europa
27 30 Malaysia 489 35 361 AAA- AAA- Asia
28 22 Austria 484 -3 501 AAA- AAA- Europa
29 31 Thailand 483 37 353 AA- AA- Asia
30 33 Philippines 466 38 338 A+ AA- Asia
31 27 Singapore 464 -1 469 AAA+ AAA Asia
32 29 Denmark 453 11 408 AAA- AAA- Europa
33 32 Ireland 427 24 344 AAA- AAA- Europa
34 34 Hong_Kong 364 12 325 AAA AAA Asia
35 35 Finland 322 20 267 AAA AAA Europa
36 38 Argentina 314 33 236 A- A South_America
37 39 Chile 301 31 229 AA AA South_America
38 37 Czech_Republic 299 26 237 AA AA Europa
39 40 Iran 250 11 225 A+ A Asia
40 43 Colombia 239 32 181 A+ A+ South_America
41 42 Israel 224 19 189 AA+ AA Asia
42 36 Qatar 223 -6 238 AAA AAA- Asia
43 41 South_Africa 222 13 196 AA- AA- Africa
44 46 Bangladesh 208 22 170 A- A- Asia
45 50 Vietnam 203 43 141 A+ A+ Asia
46 45 New_Zealand 199 15 174 AAA AAA OC
47 44 Nigeria 191 7 178 A A Africa
48 48 Portugal 181 22 149 AA AA Europa
49 47 Romania 175 6 165 A A+ Europa
50 53 Pakistan 171 34 128 A A Asia
51 51 Kuwait 170 22 140 AA- AA- Asia
52 52 Peru 166 20 139 A+ A+ South_America
53 49 Kazakhstan 154 6 145 AA- AA- Asia
54 54 Hungary 129 26 102 A+ A+ Europa
55 57 Slovakia 104 30 80 A+ A+ Europa
56 56 Luxembourg 97 14 85 AAA- AAA Europa
57 55 Egypt 88 -10 98 A+ A+ Africa
58 61 Greece 80 41 57 A A+ Europa
59 58 Sri_Lanka 77 4 74 AA- AA- Asia
60 60 Algeria 70 10 64 A A Africa
61 62 Ukraine 68 22 56 A- A Europa
62 64 Slovenia 63 20 53 AA- AA- Europa
63 69 Panama 63 32 48 AA AA- North_America
64 66 Guatemala 62 25 50 A+ A+ North_America
65 63 Dominican_Republic 61 9 56 A A North_America
66 65 Iraq 60 17 51 CC CCC Asia
67 59 Uzbekistan 56 -23 72 A+ A+ Asia
68 73 Myanmar 55 25 44 A- BBB Asia
69 71 Angola 52 14 45 BB B Africa
70 74 Oman 50 22 41 AA AA Asia
71 72 Sudan 49 9 45 CC CCC Africa
72 75 Morocco 49 20 40 AA- AA- Africa
73 70 Lithuania 48 4 46 AA- AA Europa
74 68 Bulgaria 47 -3 49 A+ A+ Europa
75 67 Costa_Rica 38 -21 49 AA- AA- North_America
76 84 Uruguay 38 33 28 AA- AA- South_America
77 79 Kenya 38 27 30 A+ A+ Africa
78 81 Azerbaijan 37 27 29 AA- A+ Asia
79 76 Ecuador 36 -7 39 A A South_America
80 85 Latvia 34 30 26 AA- AA- Europa
81 77 Serbia 34 2 33 A A Europa
82 78 Croatia 33 1 33 A+ A+ Europa
83 86 Ethiopia 31 27 25 A A Africa
84 82 Turkmenistan 31 8 29 A- A- Asia
85 83 Yemen 29 3 29 BBB BB Asia
86 80 Bahrain 28 -2 29 AA+ AA+ Asia
87 90 Estonia 28 39 20 AA+ AA+ Europa
88 101 Iceland 26 83 14 AAA- AAA- Europa
89 87 Jordan 25 4 24 AA- AA- Asia
90 93 Ghana 25 33 18 A+ A+ Africa
91 95 Bolivia 23 32 17 A- A- South_America
92 89 Tunisia 22 8 20 A+ A+ Africa
93 91 Tanzania 22 14 19 A A Africa
94 92 Lebanon 21 15 19 A+ A Asia
95 88 Trinidad_&_Tobago 21 -2 21 A+ A+ North_America
96 96 Paraguay 20 26 16 A A- South_America
97 100 Libya 17 19 14 DDD DDD Africa
98 n/a DR_Congo 16 16 14 BBB A- Africa
99 103 Nepal 15 31 12 A A Asia
100 108 Cyprus 15 57 10 AA- AA Europa
