deaths regime civilians day month
88 14 10 9 10
98 43 36 8 10
91 37 10 7 10
132 41 22 6 10
159 41 56 5 10
77 4 65 4 10
168 33 30 3 10
111 49 25 2 10
155 55 40 1 10
56 9 35 30 9
303 85 120 29 9
173 112 17 28 9
35 11 10 27 9
55 9 32 26 9
187 10 84 25 9
62 21 15 24 9
84 39 5 23 9
-1 -1 -1 22 9
36 7 15 21 9
130 15 53 20 9
-1 -1 -1 19 9
42 7 15 18 9
60 10 15 17 9
72 7 40 16 9
-1 -1 -1 15 9
80 6 60 14 9
28 7 10 13 9
61 6 30 12 9
105 8 70 11 9
109 28 50 10 9
158 35 20 9 9
-1 -1 -1 8 9
-1 -1 -1 7 9
145 44 29 6 9
96 25 32 5 9
86 14 36 4 9
96 10 53 3 9
187 43 24 2 9
53 11 20 1 9
