Kraj;r2005;r2006;r2007;r2008;r2009;r2010;r2011;r2012;r2013;r2014;r2015
Austria;1,4;2,08;2,03;2,69;2,15;1,75;2,19;2,29;2,34;2,92;3,11
Belgia;0,32;0,98;0,88;1,21;1,61;1,14;1,87;1,3;1,78;1,83;1,54
Buˆgaria;0;0;0;0,01;0,01;0,01;0,01;0,02;0,03;0,05;0,04
Chorwacja;0,02;0,02;0,02;0,02;0,02;0,03;0,01;0,02;0,02;0,02;0,03
Cypr ;0,23;0,88;0,78;0,63;1,17;0,53;1,87;1,06;1,09;1,91;1,52
Czechy ;0,18;0,28;0,28;0,38;0,34;0,24;0,44;0,47;0,42;0,51;0,48
Dania;0,66;1,13;0,86;0,76;0,67;0,6;0,69;1,04;0,77;0,87;0,87
Estonia;0,02;0,03;0,03;0,03;0,05;0,03;0,03;0,04;0,04;0,07;0,08
Finlandia;0,49;0,64;0,77;0,57;0,82;0,69;0,77;0,87;0,8;0,79;0,9
Francja;3,02;2,59;5,24;6,34;5,99;3,99;4,88;6,31;6,89;6,98;6,95
Grecja;0,01;0,02;0,01;0,02;0,03;0,03;0,06;0,05;0,07;0,07;0,06
Hiszpania;0,11;0,11;0,31;0,35;1,15;0,5;0,84;1,76;2,33;2,73;1,58
Holandia;5,59;6,39;8,65;7,73;19,13;7,38;9,62;16,07;12,32;12,34;12,09
Irlandia;0,83;1,55;1,87;2,06;1,84;1,25;1,13;1,57;1,67;3,26;2,77
Litwa;0,03;0,04;0,06;0,08;0,09;0,05;0,1;0,11;0,12;0,12;0,12
Luksemburg;1,17;1,37;2,41;2,57;3,05;2,95;5,4;6,09;5,71;6,89;6,12
Lotwa;0,02;0,02;0,03;0,04;0,17;0,03;1;0,06;0,08;0,11;0,1
Malta;0,01;0;0,02;0,1;0,08;0,01;0,09;0,3;0,21;0,33;0,47
Niemcy;7,06;6,05;6,3;7,98;10;6,44;14,9;10,08;9,95;11,77;11,29
Portugalia;0,12;0,25;0,31;0,13;0,09;0,1;0,17;0,08;0,17;0,29;0,2
Rumunia;0,02;0,04;0,08;0,04;0,05;0,04;0,04;0,05;0,11;0,08;0,08
Slowacja;0,04;0,08;0,05;0,08;0,19;0,09;0,15;0,16;0,24;0,44;0,37
Slowenia;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,12;0,03;0,03;0,05
Szwecja;0,4;0,67;0,85;1,78;1,51;0,9;2,61;2,61;2,1;2,66;2,76
Wegry;0,7;0,21;0,43;0,38;0,35;0,14;0,13;0,35;0,35;0,55;0,47
Wlk. Brytania;2,5;3,47;4,54;4,56;6,12;3,08;5,78;5,72;6,21;7,4;6,38
Wlochy;1,56;1,93;2,89;3,1;1,39;2,23;1,38;2,04;1,63;1,82;3,26
Razem;26,51;30,84;39,7;43,66;58,06;34,24;56,18;60,66;57,47;66,83;63,68
