Obywatelstwo;PowodOdrzucenia;LiczbaOdrzucen;ProcentOdrzucen
Ukraina;Brak waznej wizy;6314;0.28
Ukraina;Brak uzasadnienia celu pobytu;10223;0.45
Ukraina;Brak srodków na utrzymanie;1816;0.08
Ukraina;Pozostale przyczyny;4511;0.19
Gruzja;Brak waznej wizy;1036;0.95
Gruzja;Brak uzasadnienia celu pobytu;26;0.02
Gruzja;Brak srodków na utrzymanie;1;0.01
Gruzja;Pozostale przyczyny;22;0.02
Bialorus;Brak waznej wizy;1573;0.42
Bialorus;Brak uzasadnienia celu pobytu;322;0.09
Bialorus;Brak srodków na utrzymanie;959;0.26
Bialorus;Pozostale przyczyny;863;0.23
Bez Obywatelstwa;Brak waznej wizy;0;0.36
Bez Obywatelstwa;Brak uzasadnienia celu pobytu;0;0.43
Bez Obywatelstwa;Brak srodków na utrzymanie;0;0.00
Bez Obywatelstwa;Pozostale przyczyny;0;0.21
Moldawia;Brak waznej wizy;0;0.05
Moldawia;Brak uzasadnienia celu pobytu;0;0.47
Moldawia;Brak srodków na utrzymanie;0;0.30
Moldawia;Pozostale przyczyny;0;0.18
Turcja;Brak waznej wizy;0;0.7
Turcja;Brak uzasadnienia celu pobytu;0;0
Turcja;Brak srodków na utrzymanie;0;0.11
Turcja;Pozostale przyczyny;0;0.19
