Domain name,Alexa Rank,SimilarWeb Rank,SimilarWeb Country Rank,Visits,Top Country,Category,Time On Site,Pages Per Visit,Earnings estimate (3 weeks),,,
uptobox.com,755,1184,250,60454462,France,Internet_and_Telecom,0:03:22,2.81,3354.724309,43036.77868,,
cinecalidad.to,1025,2351,484,27601513,Mexico,Arts_and_Entertainment/Movies,0:04:17,4.44,1948.691622,,Avg hashes per second,30.00
thebay.tv,2203,3295,356,17645511,India,Internet_and_Telecom/File_Sharing,0:04:49,5.78,1400.906622,,Monero price,$90.00
xpau.se,1904,5711,840,14859984,United States,Internet_and_Telecom/File_Sharing,0:03:33,3.05,869.5109407,,Global difficulty,"30,436,857,905"
kickass.cd,2814,4533,840,14070809,United States,Internet_and_Telecom/File_Sharing,0:04:45,4.94,1101.643391,,Block reward,6.32
laguaz.net,27339,5421,360,11829627,Indonesia,Arts_and_Entertainment/Music_and_Audio,0:03:48,4.47,740.9399365,,CoinHive commission,30.00%
moonbit.co.in,4800,5785,643,11565995,Russian Federation,Finance/Financial_Management,0:26:02,6.12,4962.96412,,Days,21
plusdede.com,8099,7016,724,10630707,Spain,Arts_and_Entertainment/TV_and_Video,0:06:14,4.92,1092.22184,,,
xmoviesforyou.com,7549,5489,840,10485638,United States,Internet_and_Telecom,0:06:17,7.18,1085.958718,,,
thepiratefilmeshd.com,4066,7803,76,9400339,Brazil,Arts_and_Entertainment/Movies,0:03:23,3.61,524.2237095,,,
fuskator.com,5591,4288,840,8800078,United States,Adult,0:07:37,14.11,1104.790236,,,
tubeoffline.com,5106,8866,840,7390256,United States,Arts_and_Entertainment/TV_and_Video,0:07:58,5.18,970.4306058,,,
seriesdanko.to,10238,10456,724,7055800,Spain,Arts_and_Entertainment/TV_and_Video,0:04:31,4.54,525.2821689,,,
faucethub.io,5266,8498,76,6920489,Brazil,Finance/Investing,0:27:59,7.66,3192.012508,,,
humoron.com,13804,15730,840,6470511,United States,Adult,0:02:26,1.94,259.5186308,,,
mobypicture.com,59496,18059,484,6387903,Mexico,Arts_and_Entertainment/Photography,0:00:51,1.38,89.49640586,,,
ed-protect.org,10576,13522,250,6081427,France,Internet_and_Telecom,0:02:32,3.33,253.937121,,,
tpb.tw,5466,9688,356,5919809,India,Internet_and_Telecom/File_Sharing,0:05:06,6.44,497.6296248,,,
sugklonistiko.gr,1231,16302,300,5902749,Greece,News_and_Media/Magazines_and_E-Zines,0:03:04,2.18,298.3659402,,,
extratorrent.cd,7540,13277,356,5182066,India,Internet_and_Telecom/File_Sharing,0:04:54,4.54,418.5307542,,,
proxyspotting.in,8578,12321,356,5001865,India,Internet_and_Telecom/File_Sharing,0:05:44,6.22,472.6803128,,,
300mbfilms.co,7953,18350,454,4908350,Malawi,Arts_and_Entertainment/Movies,0:03:44,2.73,302.0373474,,,
songs.pk,10858,17474,356,4691004,India,Arts_and_Entertainment/Music_and_Audio,0:01:57,2.86,150.7748033,,,
putlockerhd.is,16391,22973,840,4614434,United States,Arts_and_Entertainment/TV_and_Video,0:03:47,2.37,287.7540213,,,
torrentkitty.tv,14524,14253,156,4403134,China,Internet_and_Telecom/File_Sharing,0:04:54,4.86,355.6201318,,,
hugogloss.com,62577,25079,76,4376818,Brazil,Arts_and_Entertainment,0:01:15,1.38,90.17722296,,,
livehd7.com,29214,22961,682,4290916,Saudi Arabia,Arts_and_Entertainment/TV_and_Video,0:03:48,2.67,268.7583496,,,
starsunfolded.com,16837,22647,356,4217069,India,Arts_and_Entertainment/Celebrities_and_Entertainment_News,0:02:04,1.99,143.6512793,,,
seriesfree.to,12791,18838,840,4196295,United States,Arts_and_Entertainment/TV_and_Video,0:06:53,4.10,476.0945049,,,
kir2kos.net,56023,14562,364,3546577,Iran,Unknown,0:06:45,7.35,394.5858636,,,
teutorrent.com,13926,18463,76,3506603,Brazil,Internet_and_Telecom/File_Sharing,0:03:34,4.37,206.1472184,,,
thetypicalindian.in,13091,24668,356,3184837,India,News_and_Media,0:01:49,2.92,95.36539538,,,
vidpoviday.com,68915,39941,804,3070152,Ukraine,Health,0:01:04,1.25,53.9780209,,,
rat.xxx,44731,23893,276,3044075,Germany,Adult,0:06:39,4.56,333.6609252,,,
youjizz.bz,43445,18254,792,2999199,Turkey,Adult,0:07:47,7.91,384.7682861,,,
utaseries.com,21198,30430,764,2966685,Thailand,Arts_and_Entertainment/TV_and_Video,0:03:46,2.51,184.1861545,,,
cnhv.co,22907,36719,76,2887537,Brazil,Finance/Investing,0:02:37,1.65,124.5386965,,,
likenaavu.com,42990,25723,643,2862411,Russian Federation,Business_and_Industry/Marketing_and_Advertising,0:03:40,4.00,172.994294,,,
songspk.io,25841,24414,356,2843335,India,Arts_and_Entertainment/Music_and_Audio,0:02:29,3.76,116.3834977,,,
urlgalleries.net,26760,16178,840,2663200,United States,Adult,0:09:15,11.80,406.0447232,,,
fastpiratebay.co.uk,18243,24071,356,2655505,India,Internet_and_Telecom/File_Sharing,0:04:40,5.51,204.2594981,,,
bg-gledai.tv,46221,34028,100,2526503,Bulgaria,Arts_and_Entertainment/TV_and_Video,0:04:46,3.37,198.501118,,,
sistemguruonline.my,46029,37264,458,2502725,Malaysia,Arts_and_Entertainment/Music_and_Audio,0:02:02,1.79,83.8783866,,,
moviecorner.com,16866,46489,76,2409777,Brazil,Arts_and_Entertainment/Movies,0:03:53,1.64,154.2445691,,,
couchtuner.fr,36503,40818,826,2409660,United Kingdom,Arts_and_Entertainment/TV_and_Video,0:02:27,2.12,97.30837249,,,
mekshat.com,42812,43407,682,2399722,Saudi Arabia,Science/Social_Sciences,0:01:41,1.57,66.58239494,,,
mp3.support,56518,26592,792,2376061,Turkey,Arts_and_Entertainment/TV_and_Video,0:04:17,4.70,167.7520418,,,
milversite.me,27866,29875,688,2372617,Serbia,Business_and_Industry,0:03:43,4.45,145.3481828,,,
141jav.com,14452,19544,392,2324796,Japan,Adult,0:08:49,10.59,337.8451023,,,
ukr-biz.com.ua,38365,49638,804,2293457,Ukraine,News_and_Media,0:00:56,1.17,35.28220627,,,
mirknig.su,13644,25083,643,2267136,Russian Federation,Internet_and_Telecom/File_Sharing,0:05:34,6.48,208.0181098,,,
obviousmag.org,53330,48232,76,2266902,Brazil,News_and_Media/Magazines_and_E-Zines,0:01:27,1.37,54.17876535,,,
zira.online,62106,38298,376,2225612,Israel,Arts_and_Entertainment,0:07:40,3.63,281.2447289,,,
