miasto;metraz.mkw.;srednia.cena
Bydgoszcz;0-38;1133
Bydgoszcz;38-60;1503
Bydgoszcz;60-90;1989
Gdañsk;0-38;1778
Gdañsk;38-60;2373
Gdañsk;60-90;3311
Katowice;0-38;1287
Katowice;38-60;1918
Katowice;60-90;2449
Kraków;0-38;1604
Kraków;38-60;2038
Kraków;60-90;2860
Lublin;0-38;1479
Lublin;38-60;1892
Lublin;60-90;2284
£ódŸ;0-38;1088
£ódŸ;38-60;1683
£ódŸ;60-90;2187
Poznañ;0-38;1192
Poznañ;38-60;1809
Poznañ;60-90;2340
Szczecin;0-38;1302
Szczecin;38-60;1656
Szczecin;60-90;2294
Warszawa;0-38;2148
Warszawa;38-60;2971
Warszawa;60-90;4175
Wroc³aw;0-38;1732
Wroc³aw;38-60;2239
Wroc³aw;60-90;3094
