Grupa narodowa/etniczna; Liczba deklaracji ogó³em; Zadeklarowana jako pierwsza; W tym zadeklarowana jako jedyna; Zadeklarowana jako druga; Zadeklarowana wspólnie z polsk¹; Zadeklarowana wspólnie z niepolsk¹
Œl¹zacy; 847; 436; 376; 411; 431; 40
Kaszubi; 233; 18; 16; 215; 216; 1
Niemcy; 148; 74; 45; 73; 64; 39
Ukraiñcy; 51; 38; 28; 13; 21; 2
Bia³orusini; 47; 36; 30; 10; 16; 1
Romowie; 17; 12; 10; 4; 7; 1
Rosjanie; 13; 8; 5; 5; 7; 1
Amerykanie; 12; 1; 1; 11; 11;
£emkowie; 11; 7; 6; 3; 4; 1
Anglicy; 10; 2; 1; 9; 9;
W³osi; 9; 2; 1; 6; 8;
Litwini; 8; 5; 5; 2; 3;
Francuzi; 8; 1; 1; 6; 7;
¯ydzi; 8; 2; 2; 5; 5; 1
Wietnamczycy; 4; 3; 3;; 1;
Hiszpanie; 4;;; 3; 3; 1
Ormianie; 4; 3; 2; 1; 2;
Holendrzy; 4; 1; 1; 3; 3;
Grecy; 4; 1; 1; 3; 3;
Czesi; 3; 1; 1; 2; 2;
S³owacy; 3; 2; 2; 1; 1;
Górale; 3;;; 3; 3;
