domena,uzytkownicy,uzytkownicy2016,odslony,czas,czas_s,zasieg
VoD.pl,4066682,4245958,18613538,0:37:37,2257,14.81
Player.pl,3609619,3681297,41585672,3:50:07,13807,13.14
CDA.pl(premium),2931623,0,22318605,0:18:38,1118,10.67
TVP.pl(VoD),2560870,2380112,38654370,3:59:52,14392,9.32
WP.tv,2188255,2221918,6146022,0:10:24,624,7.97
Ipla.tv,2185550,1999140,19071752,2:53:30,10410,7.96
Netflix.com,1208480,431068,14948831,0:09:58,598,4.40
ShowMax.com,969068,0,15228589,0:12:48,768,3.53
HBOgo.pl,522294,473021,3100987,0:06:35,395,1.90
NCplusgo.pl,309786,235342,8163764,0:30:54,1854,1.13
