Program,2011 Budget request [Billions $],"Change, 2010 to 2011",Group
F-35 Joint Strike Fighter,11.4,2.1,Air
"Ballistic Missile Defense (Aegis, THAAD, PAC-3)",9.9,7.3,Land
Virginia class submarine,5.4,28,Water
Brigade Combat Team Modernization,3.2,21.8,Other
DDG 51 Burke-class Aegis Destroyer,3,19.6,Water
P–8A Poseidon,2.9,−1.6,Air
V-22 Osprey,2.8,−6.5,Air
Carrier Replacement Program,2.7,95.8,Other
F/A-18E/F Hornet,2,17.4,Air
Predator and Reaper Unmanned Aerial System,1.9,57.8,Air
Littoral combat ship,1.8,12.5,Water
CVN Refueling and Complex Overhaul,1.7,−6.0,Other
Chemical Demilitarization,1.6,−7.0,Other
RQ-4 Global Hawk,1.5,6.7,Air
Space-Based Infrared System,1.5,54,Other
