country year unemployed employees self_employed family_workers
Finland 2006  204 2120 301 13
Finland 2007  183 2169 300 14
Finland 2008  172 2198 311 13
Finland 2009  221 2114 321 13
Finland 2010  224 2110 314 14
Finland 2011  209 2134 319 11
Finland 2012  207 2137 325 12
Finland 2013  219 2118 319 11
Finland 2014  232 2096 331 12
Finland 2015  252 2081 335 11
Switzerland 2006 170 3800 389 89
Switzerland 2007 157 3881 411 97
Switzerland 2008 150 4002 416 83
Switzerland 2009 193 4062 388 93
Switzerland 2010 204 2074 397 84
Switzerland 2011 184 4172 399 91
Switzerland 2012 193 4243 400 90
Switzerland 2013 250 4302 404 94
Switzerland 2014 215 4398 399 90
Switzerland 2015 219 4517 359 97
Poland 2006 2344 11028 2903 662
Poland 2007 1619 11666 2932 643
Poland 2008 1211 12179 2970 651
Poland 2009 1411 12260 2979 629
Poland 2010 1650 11918 2955 601
Poland 2011 1659 12004 2979 549
Poland 2012 1749 12099 2942 549 
Poland 2013 1793 12170 2885 514
Poland 2014 1567 12475 2896 491
Poland 2015 1304 12669 2940 475
Germany 2006 4257 32437 4131 382 
Germany 2007 3601 33207 4160 396
Germany 2008 3136 33854 4143 349
Germany 2009 3228 33820 4215 244
Germany 2010 2946 34070 4295 220
Germany 2011 2399 34074 4295 230
Germany 2012 2222 34407 4314 211 
Germany 2013 2179 34920 4235 188 
Germany 2014 2088 35325 4190 176
Germany 2015 1947 35705 4160 160
Italy 2006 1654 16500 5592 418
Italy 2007 1481 16664 5563 418
Italy 2008 1664 16971 5481 396
Italy 2009 1907 16782 5312 356
Italy 2010 2056 16575 5329 366
Italy 2011 2061 16700 5301 357
Italy 2012 2691 16679 5294 327
Italy 2013 3069 16441 5192 316
Italy 2014 3236 16543 5189 309
Italy 2015 3033 16738 5170 307
France 2006 2321 23433 2325 0
France 2007 2122 23775 2346 0
France 2008 1971 23886 2363 0
France 2009 2458 23585 2378 0
France 2010 2505 23561 2443 0
France 2011 2489 23674 2540 0
France 2012 2674 23677 2627 0
France 2013 2824 23624 2729 0
France 2014 2838 23659 2800 0
Spain 2006 1839 16304 3264 267 
Spain 2007 1845 16879 3381 221 
Spain 2008 2594 16764 3387 210
Spain 2009 4151 15774 3042 173 
Spain 2010 4639 15487 2970 153
Spain 2011 5011 15293 2882 138 
Spain 2012 5810 14476 2928 123
Spain 2013 6050 13982 2946 115
Spain 2014 5610 14190 2948 103
Spain 2015 5055 14684 2987 100
