"Team","Pts","FastBreakPts","Opp.FBPts","PointsInPaint","Opp.PiP","PointsOffTO","Opp.PoT","X2ndChancePTS","Opp.2ndCh.PTS","LeadChanges","TimesTied","Season","SeasonType","MatchCount","IsNBAChampion","year"
"Boston Celtics",100.585,16.46,15.85,44.93,52.71,20.12,18.78,15.38,14.56,8.22,7.28,"1996-1997","REG",82,0,1997
"Charlotte Hornets",98.878,10.98,11.1,38.05,42.49,16.8,16.38,13.07,16.05,5.91,5.93,"1996-1997","REG",82,0,1997
"Chicago Bulls",103.146,12.39,10.43,36.68,38.41,18.82,14.3,16.57,14.44,4.8,4.39,"1996-1997","REG",82,1,1997
"Cleveland Cavaliers",87.476,8.2,8.76,32.68,33.07,17.94,15.37,11.96,11.27,5.74,5.04,"1996-1997","REG",82,0,1997
"Dallas Mavericks",90.585,13.45,14.43,38.8,38.49,16.76,17.77,13.84,13.44,7.09,6.01,"1996-1997","REG",82,0,1997
"Denver Nuggets",97.805,12.01,13.4,35.12,45.37,14.13,19.67,14.2,15.56,7.59,6.12,"1996-1997","REG",82,0,1997
"Detroit Pistons",94.183,10.48,9.48,34.83,32.2,17.52,14.02,12.33,13.18,5.83,5.15,"1996-1997","REG",82,0,1997
"Golden State Warriors",99.622,9.57,11.74,40.37,42.85,17.32,20.78,15.12,15.02,6.04,6.09,"1996-1997","REG",82,0,1997
"Houston Rockets",100.585,11.9,12.66,42.8,39.66,16.6,18.33,13.26,14.2,6.62,5.11,"1996-1997","REG",82,0,1997
"Indiana Pacers",95.354,12.78,13.18,39.2,34.98,16.66,18.35,14.22,13.35,6.57,5.61,"1996-1997","REG",82,0,1997
"Los Angeles Clippers",97.183,13.38,12.71,40.66,44.32,18.51,18.3,15.27,14.04,5.49,4.82,"1996-1997","REG",82,0,1997
"Los Angeles Lakers",100,15.29,13.63,46.54,40.49,18.78,16.13,14.24,14.88,6.87,5.49,"1996-1997","REG",82,0,1997
"Miami Heat",94.829,12.29,9.4,37.56,37.66,18.61,17.23,13.27,12.82,5.52,4.8,"1996-1997","REG",82,0,1997
"Milwaukee Bucks",95.341,13.71,16.78,42.02,44.05,16.4,18.62,13.11,13.2,6.6,6.06,"1996-1997","REG",82,0,1997
"Minnesota Timberwolves",96.122,10.65,13,37.8,42.24,17.54,16.94,13.98,14.56,5.83,5.51,"1996-1997","REG",82,0,1997
"New Jersey Nets",97.244,14.52,14.84,40.44,43.07,17.56,17.78,17.23,14.23,6.55,5.29,"1996-1997","REG",82,0,1997
"New York Knicks",95.354,11.3,8.9,38.2,33.78,17.39,18.44,13.09,12.49,7.07,6.09,"1996-1997","REG",82,0,1997
"Orlando Magic",94.134,11.22,16.41,39.54,43.37,17.98,17.89,14.52,14.34,6.61,5.49,"1996-1997","REG",82,0,1997
"Philadelphia 76ers",100.183,13.73,16.43,44.98,48.1,17.04,20.7,16.56,16.48,6.68,5.78,"1996-1997","REG",82,0,1997
"Phoenix Suns",102.817,15.32,11.62,43.9,43.24,17.37,16.27,12.7,15.63,7.57,5.72,"1996-1997","REG",82,0,1997
"Portland Trailblazers",98.951,13.01,12.38,45.73,38.93,17.51,18.22,14.2,12.66,6.24,5.5,"1996-1997","REG",82,0,1997
"Sacramento Kings",96.439,12.99,13.72,39.49,41.56,16.55,18.88,14.8,13.85,6.78,5.79,"1996-1997","REG",82,0,1997
"San Antonio Spurs",90.463,11.61,12.89,42.2,40.76,15.46,17.45,14.27,15.02,5.26,4.57,"1996-1997","REG",82,0,1997
"Seattle SuperSonics",100.878,15,10.55,44.46,33.71,21.15,16.46,14.48,14.37,6.45,5.31,"1996-1997","REG",82,0,1997
"Toronto Raptors",95.476,17.54,17.67,40.85,43.24,17.87,18.9,15,14.82,6.07,4.52,"1996-1997","REG",82,0,1997
"Utah Jazz",103.098,14,8.05,45.41,34.66,18.67,15.84,12.67,12.99,6.77,5.68,"1996-1997","REG",82,0,1997
