Date,Hong Kong 8:30,Hong Kong 14:00,London 09:00,New York 9:30
2017-12-08,970.0,970.0,970.0,
2017-12-07,970.0,970.0,970.0,970.0
2017-12-06,970.0,970.0,970.0,970.0
2017-12-05,970.0,970.0,970.0,970.0
2017-12-04,970.0,970.0,970.0,970.0
2017-12-01,970.0,970.0,970.0,970.0
2017-11-30,970.0,970.0,970.0,
2017-11-29,970.0,970.0,970.0,970.0
2017-11-28,970.0,970.0,970.0,970.0
2017-11-27,970.0,970.0,970.0,970.0
2017-11-24,970.0,970.0,970.0,970.0
2017-11-23,970.0,970.0,970.0,970.0
2017-11-22,970.0,970.0,970.0,970.0
2017-11-21,970.0,970.0,970.0,970.0
2017-11-20,970.0,970.0,970.0,970.0
2017-11-17,970.0,970.0,970.0,970.0
2017-11-16,970.0,970.0,970.0,970.0
2017-11-15,970.0,970.0,970.0,970.0
2017-11-14,970.0,970.0,970.0,970.0
2017-11-13,970.0,970.0,970.0,970.0
2017-11-10,970.0,970.0,970.0,970.0
2017-11-09,970.0,970.0,970.0,970.0
2017-11-08,970.0,970.0,970.0,970.0
2017-11-07,970.0,970.0,970.0,970.0
2017-11-06,970.0,970.0,970.0,970.0
2017-11-03,970.0,970.0,970.0,970.0
2017-11-02,970.0,970.0,970.0,970.0
2017-11-01,970.0,970.0,970.0,970.0
2017-10-31,970.0,970.0,970.0,
2017-10-30,970.0,970.0,970.0,970.0
2017-10-27,970.0,970.0,970.0,970.0
2017-10-26,970.0,970.0,970.0,970.0
2017-10-25,970.0,970.0,970.0,970.0
2017-10-24,970.0,970.0,970.0,970.0
2017-10-23,970.0,970.0,970.0,970.0
2017-10-20,970.0,970.0,970.0,970.0
2017-10-19,970.0,970.0,970.0,970.0
2017-10-18,970.0,970.0,970.0,970.0
2017-10-17,970.0,970.0,970.0,970.0
2017-10-16,970.0,970.0,970.0,970.0
2017-10-13,970.0,970.0,970.0,970.0
2017-10-12,970.0,970.0,970.0,970.0
2017-10-11,970.0,970.0,970.0,970.0
2017-10-10,970.0,970.0,970.0,970.0
2017-10-09,970.0,970.0,970.0,970.0
2017-10-06,970.0,970.0,970.0,970.0
2017-10-05,,,970.0,970.0
2017-10-04,970.0,970.0,970.0,970.0
2017-10-03,970.0,970.0,970.0,970.0
2017-10-02,,,970.0,970.0
2017-09-29,970.0,970.0,970.0,
2017-09-28,970.0,970.0,970.0,970.0
2017-09-27,970.0,970.0,970.0,970.0
2017-09-26,970.0,970.0,970.0,970.0
2017-09-25,970.0,970.0,970.0,970.0
2017-09-22,970.0,970.0,970.0,970.0
2017-09-21,970.0,,970.0,970.0
2017-09-20,970.0,970.0,970.0,970.0
2017-09-19,970.0,970.0,970.0,970.0
2017-09-18,970.0,970.0,970.0,970.0
2017-09-15,970.0,970.0,970.0,970.0
2017-09-14,970.0,970.0,970.0,970.0
2017-09-13,970.0,970.0,970.0,970.0
2017-09-12,970.0,970.0,970.0,970.0
2017-09-11,970.0,970.0,970.0,970.0
2017-09-08,970.0,970.0,970.0,970.0
2017-09-07,970.0,970.0,970.0,970.0
2017-09-06,970.0,970.0,970.0,970.0
2017-09-05,970.0,970.0,970.0,970.0
2017-09-04,970.0,970.0,970.0,970.0
2017-09-01,970.0,970.0,970.0,970.0
2017-08-31,970.0,970.0,970.0,
2017-08-30,970.0,970.0,970.0,970.0
2017-08-29,970.0,970.0,970.0,970.0
2017-08-28,970.0,970.0,,970.0
2017-08-25,970.0,970.0,970.0,970.0
2017-08-24,970.0,970.0,970.0,970.0
2017-08-23,,,970.0,970.0
2017-08-22,970.0,970.0,970.0,970.0
2017-08-21,970.0,970.0,970.0,970.0
2017-08-18,970.0,970.0,970.0,970.0
2017-08-17,970.0,970.0,970.0,970.0
2017-08-16,970.0,970.0,970.0,970.0
2017-08-15,970.0,970.0,970.0,970.0
2017-08-14,970.0,970.0,970.0,970.0
2017-08-11,970.0,970.0,970.0,970.0
2017-08-10,970.0,970.0,970.0,970.0
2017-08-09,970.0,970.0,970.0,970.0
2017-08-08,970.0,970.0,970.0,970.0
2017-08-07,970.0,970.0,970.0,970.0
2017-08-04,970.0,970.0,970.0,970.0
2017-08-03,970.0,970.0,970.0,970.0
2017-08-02,970.0,970.0,970.0,970.0
2017-08-01,970.0,970.0,970.0,970.0
2017-07-31,970.0,970.0,970.0,
2017-07-28,970.0,970.0,970.0,970.0
2017-07-27,970.0,970.0,970.0,970.0
2017-07-26,970.0,970.0,970.0,970.0
2017-07-25,970.0,970.0,970.0,970.0
2017-07-24,970.0,970.0,970.0,970.0
2017-07-21,970.0,970.0,970.0,970.0
2017-07-20,970.0,970.0,970.0,970.0
2017-07-19,970.0,970.0,970.0,970.0
2017-07-18,970.0,970.0,970.0,970.0
2017-07-17,970.0,970.0,970.0,970.0
2017-07-14,960.0,960.0,970.0,970.0
2017-07-13,960.0,960.0,960.0,960.0
2017-07-12,960.0,960.0,960.0,960.0
2017-07-11,960.0,960.0,960.0,960.0
2017-07-10,960.0,960.0,960.0,960.0
2017-07-07,960.0,960.0,960.0,960.0
2017-07-06,960.0,960.0,960.0,960.0
2017-07-05,960.0,960.0,960.0,960.0
2017-07-04,960.0,960.0,960.0,960.0
2017-07-03,960.0,960.0,960.0,960.0
2017-06-30,960.0,960.0,960.0,
2017-06-29,960.0,960.0,960.0,960.0
