Date,Hong Kong 8:30,Hong Kong 14:00,London 09:00,New York 9:30
2017-12-08,190.0,190.0,190.0,
2017-12-07,185.0,185.0,190.0,190.0
2017-12-06,180.0,180.0,185.0,185.0
2017-12-05,170.0,170.0,175.0,180.0
2017-12-04,165.0,165.0,170.0,170.0
2017-12-01,165.0,165.0,165.0,165.0
2017-11-30,165.0,165.0,165.0,
2017-11-29,160.0,160.0,160.0,165.0
2017-11-28,160.0,160.0,160.0,160.0
2017-11-27,160.0,160.0,160.0,160.0
2017-11-24,150.0,150.0,150.0,160.0
2017-11-23,145.0,145.0,145.0,150.0
2017-11-22,130.0,130.0,130.0,145.0
2017-11-21,130.0,130.0,130.0,130.0
2017-11-20,130.0,130.0,130.0,130.0
2017-11-17,130.0,130.0,130.0,130.0
2017-11-16,125.0,125.0,125.0,130.0
2017-11-15,125.0,125.0,125.0,125.0
2017-11-14,125.0,125.0,125.0,125.0
2017-11-13,125.0,125.0,125.0,125.0
2017-11-10,125.0,125.0,125.0,125.0
2017-11-09,125.0,125.0,125.0,125.0
2017-11-08,120.0,120.0,125.0,125.0
2017-11-07,120.0,120.0,120.0,120.0
2017-11-06,120.0,120.0,120.0,120.0
2017-11-03,120.0,120.0,120.0,120.0
2017-11-02,105.0,105.0,105.0,120.0
2017-11-01,100.0,100.0,105.0,105.0
2017-10-31,95.0,95.0,95.0,
2017-10-30,95.0,95.0,95.0,95.0
2017-10-27,90.0,90.0,90.0,90.0
2017-10-26,90.0,90.0,90.0,90.0
2017-10-25,90.0,90.0,90.0,90.0
2017-10-24,88.0,88.0,90.0,90.0
2017-10-23,88.0,88.0,88.0,88.0
2017-10-20,85.0,85.0,85.0,88.0
2017-10-19,85.0,85.0,85.0,85.0
2017-10-18,80.0,80.0,80.0,85.0
2017-10-17,80.0,80.0,80.0,80.0
2017-10-16,80.0,80.0,80.0,80.0
2017-10-13,78.0,78.0,80.0,80.0
2017-10-12,78.0,78.0,78.0,78.0
2017-10-11,78.0,78.0,78.0,78.0
2017-10-10,78.0,78.0,78.0,78.0
2017-10-09,75.0,75.0,78.0,78.0
2017-10-06,75.0,75.0,75.0,75.0
2017-10-05,,,70.0,75.0
2017-10-04,70.0,70.0,70.0,70.0
2017-10-03,70.0,70.0,70.0,70.0
2017-10-02,,,70.0,70.0
2017-09-29,68.0,68.0,70.0,
2017-09-28,68.0,68.0,68.0,68.0
2017-09-27,65.0,65.0,65.0,65.0
2017-09-26,65.0,65.0,65.0,65.0
2017-09-25,65.0,65.0,65.0,65.0
2017-09-22,65.0,65.0,65.0,65.0
2017-09-21,65.0,,65.0,65.0
2017-09-20,65.0,65.0,65.0,65.0
2017-09-19,65.0,65.0,65.0,65.0
2017-09-18,65.0,65.0,65.0,65.0
2017-09-15,65.0,65.0,65.0,65.0
2017-09-14,65.0,65.0,65.0,65.0
2017-09-13,65.0,65.0,65.0,65.0
2017-09-12,65.0,65.0,65.0,65.0
2017-09-11,65.0,65.0,65.0,65.0
2017-09-08,65.0,65.0,65.0,65.0
2017-09-07,65.0,65.0,65.0,65.0
2017-09-06,65.0,65.0,65.0,65.0
2017-09-05,65.0,65.0,65.0,65.0
2017-09-04,65.0,65.0,65.0,65.0
2017-09-01,65.0,65.0,65.0,65.0
2017-08-31,65.0,65.0,65.0,
2017-08-30,65.0,65.0,65.0,65.0
2017-08-29,65.0,65.0,65.0,65.0
2017-08-28,65.0,65.0,,65.0
2017-08-25,65.0,65.0,65.0,65.0
2017-08-24,65.0,65.0,65.0,65.0
2017-08-23,,,65.0,65.0
2017-08-22,65.0,65.0,65.0,65.0
2017-08-21,65.0,65.0,65.0,65.0
2017-08-18,65.0,65.0,65.0,65.0
2017-08-17,65.0,65.0,65.0,65.0
2017-08-16,65.0,65.0,65.0,65.0
2017-08-15,65.0,65.0,65.0,65.0
2017-08-14,65.0,65.0,65.0,65.0
2017-08-11,65.0,65.0,65.0,65.0
2017-08-10,65.0,65.0,65.0,65.0
2017-08-09,65.0,65.0,65.0,65.0
2017-08-08,65.0,65.0,65.0,65.0
2017-08-07,65.0,65.0,65.0,65.0
2017-08-04,65.0,65.0,65.0,65.0
2017-08-03,65.0,65.0,65.0,65.0
2017-08-02,65.0,65.0,65.0,65.0
2017-08-01,65.0,65.0,65.0,65.0
2017-07-31,65.0,65.0,65.0,
2017-07-28,65.0,65.0,65.0,65.0
2017-07-27,65.0,65.0,65.0,65.0
2017-07-26,65.0,65.0,65.0,65.0
2017-07-25,65.0,65.0,65.0,65.0
2017-07-24,65.0,65.0,65.0,65.0
2017-07-21,65.0,65.0,65.0,65.0
2017-07-20,65.0,65.0,65.0,65.0
2017-07-19,65.0,65.0,65.0,65.0
2017-07-18,65.0,65.0,65.0,65.0
2017-07-17,65.0,65.0,65.0,65.0
2017-07-14,65.0,65.0,65.0,65.0
2017-07-13,65.0,65.0,65.0,65.0
2017-07-12,65.0,65.0,65.0,65.0
2017-07-11,65.0,65.0,65.0,65.0
2017-07-10,65.0,65.0,65.0,65.0
2017-07-07,65.0,65.0,65.0,65.0
2017-07-06,65.0,65.0,65.0,65.0
2017-07-05,65.0,65.0,65.0,65.0
2017-07-04,65.0,65.0,65.0,65.0
2017-07-03,65.0,65.0,65.0,65.0
2017-06-30,65.0,65.0,65.0,
2017-06-29,65.0,65.0,65.0,65.0
2017-06-28,65.0,65.0,65.0,65.0
2017-06-27,65.0,65.0,65.0,65.0
2017-06-26,65.0,65.0,65.0,65.0
2017-06-23,65.0,65.0,65.0,65.0
2017-06-22,65.0,65.0,65.0,65.0
2017-06-21,65.0,65.0,65.0,65.0
2017-06-20,65.0,65.0,65.0,65.0
2017-06-19,65.0,65.0,65.0,65.0
2017-06-16,65.0,65.0,65.0,65.0
2017-06-15,65.0,65.0,65.0,65.0
2017-06-14,65.0,65.0,65.0,65.0
2017-06-13,65.0,65.0,65.0,65.0
2017-06-12,65.0,65.0,65.0,65.0
2017-06-09,65.0,65.0,65.0,65.0
2017-06-08,65.0,65.0,65.0,65.0
2017-06-07,65.0,65.0,65.0,65.0
2017-06-06,65.0,65.0,65.0,65.0
2017-06-05,65.0,65.0,65.0,65.0
2017-06-02,65.0,65.0,65.0,65.0
2017-06-01,65.0,65.0,65.0,65.0
2017-05-31,65.0,65.0,65.0,
2017-05-30,,,65.0,65.0
2017-05-29,65.0,65.0,,
2017-05-26,65.0,65.0,65.0,65.0
2017-05-25,65.0,65.0,65.0,65.0
2017-05-24,65.0,65.0,65.0,65.0
2017-05-23,65.0,65.0,65.0,65.0
2017-05-22,65.0,65.0,65.0,65.0
2017-05-19,65.0,65.0,65.0,65.0
2017-05-18,65.0,65.0,65.0,65.0
2017-05-17,65.0,65.0,65.0,65.0
2017-05-16,65.0,65.0,65.0,65.0
2017-05-15,65.0,65.0,65.0,65.0
2017-05-12,65.0,65.0,65.0,65.0
2017-05-11,65.0,65.0,65.0,65.0
2017-05-10,65.0,65.0,65.0,65.0
2017-05-09,65.0,65.0,65.0,65.0
2017-05-08,65.0,65.0,65.0,65.0
2017-05-05,65.0,65.0,65.0,65.0
