"Part","Id","Type"
"Geforce GTX 1050",3968098,"GPU"
"Geforce GTX 1060",3780489,"GPU"
"Geforce GTX 1070",3789345,"GPU"
"Geforce GTX 1080",3711433,"GPU"
"Geforce GTX 1080 Ti",4220982,"GPU"
"Radeon RX 570",4290355,"GPU"
"Radeon RX 580",4290350,"GPU"
"Radeon RX VEGA 56",4456607,"GPU"
"Radeon RX VEGA 64",4422253,"GPU"
"AMD Ryzen 5 1600",4236769,"CPU"
"AMD Ryzen 7 1800X",4162312,"CPU"
"Intel Core i7 8700K",4447774,"CPU"
"Intel Core i7 7700K",4020337,"CPU"
"Intel Core i5 7600K",4020355,"CPU"
"Intel Core i3 8100",4447769,"CPU"
"DDR4 3200MHz 2x8GB",4113643,"RAM"
"DDR4 2400MHz 8GB",3612702,"RAM"
"DDR3 2400MHz 2x8GB",2166395,"RAM"
"DDR3 1600MHz 8GB",2593119,"RAM"
"SSD Samsung 850 EVO 500GB",2880210,"Storage"
"SSD Kingston V300 120GB",1498545,"Storage"
"HDD WD Red 4TB",2167793,"Storage"
"HDD Seagate Barracuda 4TB",4316394,"Storage"
"HDD WD Blue 1TB",1282059,"Storage"
"HDD Seagate Barracuda 1TB",3795740,"Storage"
