Województwo|2016.01|2016.02|2016.03|2016.04|2016.05|2016.06|2016.07|2016.08|2016.09|2016.10|2016.11|2016.12
Dolnośląskie|2667|2605|2717|2739|2519|2585|2312|2693|2500|2679|2605|2778
Kujawsko-pomorskie|2026|2126|2066|2144|2017|2111|2085|2086|2055|2264|2339|2552
Lubelskie|2210|2257|2278|2119|1948|2136|2296|2486|2548|2634|2420|2692
Lubuskie|855|1074|1128|1019|762|1098|994|1086|1027|1009|1177|1117
Lódzkie|2344|2242|2449|2118|1909|2149|1980|2340|2485|2591|2683|2711
Malopolskie|3490|4029|4003|3717|3347|3652|3306|3314|3727|3682|3714|3896
Mazowieckie|4866|4676|5036|4742|4384|5358|4820|5028|5185|5809|5397|5954
Opolskie|1040|1028|1018|972|886|873|780|867|954|985|968|1063
Podkarpackie|2546|2478|2515|2471|2281|2278|2025|2213|2565|2462|2483|2865
Podlaskie|1139|1020|1041|954|929|1086|1185|1278|1347|1100|1111|1307
Pomorskie|2105|2142|2340|2277|1768|2213|1852|1867|2156|2406|2289|2497
Slaskie|3558|3950|4350|4278|3688|4056|3752|4024|4244|4444|4218|4467
Swietokrzyskie|1373|1358|1424|1343|1309|1270|1326|1462|1572|1672|1435|1766
Warminsko-mazurskie|1368|1333|1546|1423|1219|1468|1355|1607|1586|1537|1443|1671
Wielkopolskie|3244|3312|3377|3221|2905|3211|3249|3328|3656|3389|3696|3766
Zachodniopomorskie|1395|1462|1689|1564|1327|1749|1484|1478|1620|1528|1539|1708
