"Country" "2010" "2014" "2015" "PPS_per_capita" "Family&Children" "Unemployment" "Sickness healthcare&disability" "Old age&survivors" "Housing&Social exclusion"
"Belgia" 29.4 30.2 30.4 10.3 7.3 10.7 37.4 41.5 3.1
"Bułgaria" 17.0 18.5 17.9 2.7 11.0 2.9 34.4 50.2 1.6
"Czechy" 20.1 19.7 19.1 5.2 8.8 2.7 38.3 47.3 3.0
"Dania" 32.4 32.9 32.3 11.3 11.2 4.9 33.2 43.8 7.0
"Niemcy" 29.8 29.0 29.2 10.8 11.4 3.7 42.9 39.1 3.0
"Estonia" 17.6 15.1 16.4 3.7 12.8 2.7 39.9 43.9 0.7
"Irlandia" 25.3 21.8 16.7 7.5 12.4 12.2 38.5 32.9 4.1
"Grecja" 25.9 26.1 26.5 5.2 4.1 4.0 25.9 65.4 0.6
"Hiszpania" 24.6 25.4 24.7 6.3 5.3 9.0 34.5 49.8 1.4
"Francja" 32.9 34.2 33.9 10.8 7.7 6.2 34.9 45.6 5.5
"Chorwacja" 21.1 21.6 21.3 3.6 7.1 2.4 45.7 43.8 1.1
"Włochy" 28.9 29.9 30.0 8.2 6.0 5.9 28.9 58.3 0.9
"Cypr" 19.9 21.7 22.0 5.2 6.2 5.7 25.5 54.9 7.7
"Łotwa" 18.3 14.5 14.9 2.8 10.7 4.0 33.9 50.2 1.3
"Litwa" 19.0 15.2 15.6 3.5 7.5 3.4 39.5 47.3 2.3
"Luksemburg" 22.7 22.7 22.0 15.0 15.5 6.6 35.7 38.5 3.7
"Węgry" 22.6 19.9 20.2 4.3 12.0 1.6 35.1 49.2 2.1
"Malta" 19.3 18.3 17.5 4.6 6.7 3.0 36.6 51.2 2.5
"Holandia" 29.7 30.9 30.2 11.0 3.9 5.2 42.5 42.4 6.0
"Austria" 29.8 30.0 30.2 11.0 9.6 5.6 32.1 50.3 2.3
"Polska*" 19.7 19.1 NA NA NA NA NA NA NA
"Portugalia" 25.8 26.9 25.7 5.6 4.7 4.6 31.6 58.3 0.9
"Romunia" 17.3 14.8 14.6 2.6 8.8 0.7 34.0 55.2 1.3
"Słowienia" 24.4 24.1 23.9 5.7 7.6 2.7 38.1 48.3 3.3
"Słowacja" 18.2 18.5 18.3 4.3 9.1 2.9 40.1 45.9 2.0
"Finlandia" 29.3 31.9 31.6 10.1 10.3 8.5 33.7 42.5 5.1
"Szwecja" 28.6 29.5 29.3 10.2 10.5 3.7 37.9 43.1 4.9
"Wielka Brytania" 29.1 27.5 28.8 8.5 9.6 1.4 40.8 41.2 7.0
"Islandia" 23.3 23.9 23.0 8.0 11.1 2.4 52.2 28.7 5.6
"Norwegia" 25.2 26.0 27.9 12.6 11.9 2.4 46.4 35.8 3.5
"Szwajcaria" 25.5 27.0 27.6 11.7 6.1 3.7 38.9 48.0 3.4
