"Currency","Date","Open","High","Low","Close","Volume","Market_Cap"
"BitCoin","Dec 06 2017",11923.40,14369.10,11923.40,14291.50,12656300000,199390000000
"BitCoin","Dec 05 2017",11685.70,12032.00,11604.60,11916.70,6895260000,195389000000
"BitCoin","Dec 04 2017",11315.40,11657.20,11081.80,11657.20,6132410000,189172000000
"BitCoin","Dec 03 2017",11082.70,11858.70,10862.00,11323.20,6608310000,185258000000
"BitCoin","Dec 02 2017",10978.30,11320.20,10905.10,11074.60,5138500000,183490000000
"BitCoin","Dec 01 2017",10198.60,11046.70,9694.65,10975.60,6783120000,170436000000
"BitCoin","Nov 30 2017",9906.79,10801.00,9202.05,10233.60,8310690000,165537000000
"BitCoin","Nov 29 2017",10077.40,11517.40,9601.03,9888.61,11568800000,168367000000
"BitCoin","Nov 28 2017",9823.43,10125.70,9736.30,10058.80,6348820000,164104000000
"BitCoin","Nov 27 2017",9352.72,9818.35,9352.72,9818.35,5653320000,156221000000
"BitCoin","Nov 26 2017",8789.04,9522.93,8775.59,9330.55,5475580000,146789000000
"BitCoin","Nov 25 2017",8241.71,8790.92,8191.15,8790.92,4342060000,137632000000
"BitCoin","Nov 24 2017",8074.02,8374.16,7940.93,8253.69,5058610000,134816000000
"BitCoin","Nov 23 2017",8232.38,8267.40,8038.77,8038.77,4225180000,137444000000
"BitCoin","Nov 22 2017",8077.95,8302.26,8075.47,8253.55,3633530000,134851000000
"BitCoin","Nov 21 2017",8205.74,8348.66,7762.71,8071.26,4277610000,136967000000
"BitCoin","Nov 20 2017",8039.07,8336.86,7949.36,8200.64,3488450000,134167000000
"BitCoin","Nov 19 2017",7766.03,8101.91,7694.10,8036.49,3149320000,129595000000
"BitCoin","Nov 18 2017",7697.21,7884.99,7463.44,7790.15,3667190000,128425000000
"BitCoin","Nov 17 2017",7853.57,8004.59,7561.09,7708.99,4651670000,131026000000
"BitCoin","Nov 16 2017",7323.24,7967.38,7176.58,7871.69,5123810000,122164000000
"BitCoin","Nov 15 2017",6634.76,7342.25,6634.76,7315.54,4200880000,110667000000
"BitCoin","Nov 14 2017",6561.48,6764.98,6461.75,6635.75,3197110000,109434000000
"BitCoin","Nov 13 2017",5938.25,6811.19,5844.29,6559.49,6263250000,99029000000
"BitCoin","Nov 12 2017",6295.45,6625.05,5519.01,5950.07,8957350000,104980000000
"BitCoin","Nov 11 2017",6618.61,6873.15,6204.22,6357.60,4908680000,110362000000
"BitCoin","Nov 10 2017",7173.73,7312.00,6436.87,6618.14,5208250000,119607000000
"BitCoin","Nov 09 2017",7446.83,7446.83,7101.52,7143.58,3226250000,124146000000
"BitCoin","Nov 08 2017",7141.38,7776.42,7114.02,7459.69,4602200000,119041000000
"BitCoin","Nov 07 2017",7023.10,7253.32,7023.10,7144.38,2326340000,117056000000
"LiteCoin","Dec 06 2017",102.48,104.82,97.31,100.35,547512000,5548860000
"LiteCoin","Dec 05 2017",104.28,104.30,101.84,102.40,328726000,5644390000
"LiteCoin","Dec 04 2017",101.40,104.24,96.53,104.24,331151000,5486740000
"LiteCoin","Dec 03 2017",100.19,106.39,98.10,101.26,364022000,5420380000
"LiteCoin","Dec 02 2017",98.94,103.80,98.32,100.28,402554000,5351330000
"LiteCoin","Dec 01 2017",88.00,100.41,83.74,99.00,561343000,4758600000
"LiteCoin","Nov 30 2017",86.25,93.54,78.08,88.33,481948000,4662340000
"LiteCoin","Nov 29 2017",96.01,104.61,81.77,85.57,786820000,5188580000
"LiteCoin","Nov 28 2017",91.72,96.03,90.34,96.03,388931000,4955290000
"LiteCoin","Nov 27 2017",85.89,93.29,85.89,91.60,429591000,4638580000
"LiteCoin","Nov 26 2017",88.94,88.94,84.02,85.93,357457000,4801830000
