"Country.Name","Country.Code","Zrodlo.Energii","Indicator.Code","variable","value"
"Poland","POL","coal ","EG.ELC.COAL.ZS",1981,95.1835204023517
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1981,1.87244258689728
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1981,0.13493502965942
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1981,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1981,2.46650719799525
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1981,0.235698201158338
"Poland","POL","coal ","EG.ELC.COAL.ZS",1982,96.2983302157162
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1982,1.32398620239914
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1982,0.105541349899607
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1982,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1982,1.93235056889362
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1982,0.230818074170685
"Poland","POL","coal ","EG.ELC.COAL.ZS",1983,96.4114620655228
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1983,1.34862038147841
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1983,0.0950072865757925
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1983,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1983,1.763270827127
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1983,0.291463031698618
"Poland","POL","coal ","EG.ELC.COAL.ZS",1984,97.0560339636276
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1984,1.059857882693
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1984,0.05720823798627
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1984,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1984,1.45429362880886
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1984,0.259695290858726
"Poland","POL","coal ","EG.ELC.COAL.ZS",1985,96.9416638410166
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1985,1.36515752384603
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1985,0.059707213515944
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1985,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1985,1.23837183588625
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1985,0.292639058837405
"Poland","POL","coal ","EG.ELC.COAL.ZS",1986,97.2772313085805
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1986,1.12199220617422
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1986,0.0456329948282606
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1986,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1986,1.1748685335149
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1986,0.266554636457141
"Poland","POL","coal ","EG.ELC.COAL.ZS",1987,97.3173265290472
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1987,1.15798353306981
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1987,0.115031476795014
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1987,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1987,1.18377847029051
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1987,0.134551969826895
"Poland","POL","coal ","EG.ELC.COAL.ZS",1988,97.3760398982819
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1988,1.26302294292094
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1988,0.068328625467558
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1988,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1988,1.14538500010566
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1988,0.0662153690097985
"Poland","POL","coal ","EG.ELC.COAL.ZS",1989,97.4539314396556
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1989,1.12267040657554
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1989,0.0802405821977547
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1989,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1989,1.17988543040351
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1989,0.0718676518814672
"Poland","POL","coal ","EG.ELC.COAL.ZS",1990,97.4928393408474
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1990,1.05419782018376
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1990,0.0929955734107056
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1990,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1990,1.16802440203846
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1990,0.0409180523007105
"Poland","POL","coal ","EG.ELC.COAL.ZS",1991,97.3645349888494
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1991,1.07362425411368
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1991,0.080615996624676
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1991,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1991,1.15122656862154
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1991,0.0625339039238141
"Poland","POL","coal ","EG.ELC.COAL.ZS",1992,97.3310275696894
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1992,1.15313688431137
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1992,0.0765187049974366
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1992,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1992,1.11487753181265
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1992,0.0849357625471547
"Poland","POL","coal ","EG.ELC.COAL.ZS",1993,97.3273435069321
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1993,1.12916322023995
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1993,0.0736080862656417
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1993,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1993,1.19290630525349
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1993,0.0462896212598365
"Poland","POL","coal ","EG.ELC.COAL.ZS",1994,97.0568817801251
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1994,1.30013353939412
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1994,0.110282533347337
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1994,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1994,1.26487313757558
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1994,0.0382612870796885
"Poland","POL","coal ","EG.ELC.COAL.ZS",1995,97.0571065804644
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1995,1.3769501320763
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1995,0.188263452080384
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1995,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1995,1.11133812991638
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1995,0.049619824579326
"Poland","POL","coal ","EG.ELC.COAL.ZS",1996,96.8624729096137
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1996,1.36762185361984
