lokalna_grupa_dzialania;liczba_naborow;ilosc_srodkow;wykorzystanie_budzetu
Bud-Uj Razem;10;8717501,61;95,75
Centrum;8;4001681,56;91,89
Gniazdo;6;3038066,17;82,74
Dolina Rzeki Grabi;5;8729206,08;75,21
Przymierze Jeziorsko;5;1681305,49;68,5
Ziemia £owicka;5;1586921,31;61,18
Kraina Wielkiego £uku Warty;12;4939066;54,04
Mroga;3;6702404,94;52,65
Dolina Pilicy;12;4154299,96;50,66
Podkowa;3;3242677,58;50,63
Polcentrum;3;716151,11;46,94
Miêdzy Prosn¹ a Wart¹;8;4287155,47;39,99
Prym;5;6164936;31,96
Kraina Rawki;4;3285486;27,84
Ster;2;811547,2;20,9
Ziemia Wieluñsko-Sieradzka;9;5791561,38;14,37
