"",January,February,March,April,May,June,July,August,September,October,November,December
Miami,23,24,26,27,29,30,31,31,31,28,26,24
Tenerife,17,17,18,18,19,21,23,24,23,22,20,17
Rome,8,9,12,14,21,23,26,24,22,18,13,10
London,5,7,9,11,14,16,19,19,17,13,10,7
Barcelona,10,10,12,13,16,20,23,24,22,18,13,11
Dubai,19,20,23,26,31,33,35,36,33,29,25,21
Majorca,10,10,12,14,18,21,24,25,21,18,14,11
Paris,5,6,9,11,15,16,20,20,16,12,7,5 
Sydney,23,23,22,19,16,14,13,14,16,18,20,22
Bali,26,26,27,27,28,27,27,27,27,27,27,27
