unit,tra_infr,n_tracks,geo\time	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
KM,TOTAL,TOTAL,AT	:	:	:	6256	:	:	5828	5500	5566	5531	5531	5522
KM,TOTAL,TOTAL,BE	3536	3544	3560	3568	3513	3578	:	:	:	:	:	:
KM,TOTAL,TOTAL,BG	4259	4154	4146	4143	4144	4150	4098	4072	4070	4032	4023	:
KM,TOTAL,TOTAL,CH	5040.5	5039.9	5042.9	5085.2	:	:	5124	:	:	:	:	:
KM,TOTAL,TOTAL,CZ	9612	9614	9597	9588	9586	9578	9568	9572	9570	9560	9559	9566
KM,TOTAL,TOTAL,DE	:	38206	:	38005	37798	37934	37679	37846	37941	37860	37775	:
KM,TOTAL,TOTAL,DK	:	:	3139	3181	3181	:	:	:	:	:	:	:
KM,TOTAL,TOTAL,EE	:	925	1196	1200	1196	1196	1196	1196	1196	1166	1166	1164
KM,TOTAL,TOTAL,EL	2449	2576	2509	2551	2552	2552	2552	2554	2569	2586	:	2240
KM,TOTAL,TOTAL,ES	12837	12839	13008	13368	13353	13354	13853	13945	13976	15312	15182	15384
KM,TOTAL,TOTAL,FI	5741	5732	5905	5899	5919	5919	5919	5944	5944	5944	5944	5923
KM,TOTAL,TOTAL,FR	30880	30871	:	31154	31041	30939	30335	30404	30581	30318	29335	28987
KM,TOTAL,TOTAL,HR	2726	2726	2722	2722	2722	2722	2722	2722	2722	2722	2604	2604
KM,TOTAL,TOTAL,HU	7685	7685	8135	7808	7813	7390	7352	7486.5	7486.2	7356.7	8017	7197
KM,TOTAL,TOTAL,IE	:	1912	:	1834	1889	1914.5	1927	1931.19	1931	1931	1931	1931
KM,TOTAL,TOTAL,IT	15916	16225	16295	16335	16529	16686	16704	16726	16742	16752	:	:
KM,TOTAL,TOTAL,LT	1781.8	1771.2	1771.2	1766.3	1765.4	1767.6	1767.6	1767.6	1767.6	1767.6	1767.6	1877.2
KM,TOTAL,TOTAL,LU	:	:	:	657	275	275	275	275	275	275	275	275
KM,TOTAL,TOTAL,LV	2270	2270	2269	2265	2263	1884	1897	1865	1859	1859	1860	1860
KM,TOTAL,TOTAL,MK	699	699	699	699	699	699	699	699	699	:	:	465
KM,TOTAL,TOTAL,NL	2811	2810	2797	2801	2888	2896	3013	3013	3013	3013	3032	:
KM,TOTAL,TOTAL,NO	4077	4114	4114	4114	4114	3910	3958	3910	3891	3897	3906	:
KM,TOTAL,TOTAL,PL	20250	20253	20176	20107	20196	20360	20228	20228	20094	19328	19240	19231
KM,TOTAL,TOTAL,PT	:	:	:	:	2841.6	2841.6	2843	2793.9	2541.2	2544.4	2546	:
KM,TOTAL,TOTAL,RO	11053	10948	10789	10777	10785	10784	10785	10777	10777	10768	10777	10770
KM,TOTAL,TOTAL,SE	11050	11017	11020	10972	11032	11149	11160	11206	11136	10957	10881	10908
KM,TOTAL,TOTAL,SI	1228.7	1228.1	1228.07	1228.07	1228.07	1228.07	1228.07	1209.13	1209	1209	1209	1209
KM,TOTAL,TOTAL,SK	3660	3658	3658	3629	3623	3623	3622	3624	3631	3631	3627	3626
KM,TOTAL,TOTAL,TR	8697	8697	8697	8697	8699	9080	9594	9642	9642	9718	10087	10131d
KM,TOTAL,TOTAL,UK	16458	15810	15795	15814b	15814	15754	15884	:	:	16202	16209	16248
