tra_cov,unit,geo\time	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
TOTAL,MIO_TKM,AT	18757	18957	20980	21371	21915	17767	19833	20345	19499	19278	20494	20266
TOTAL,MIO_TKM,BE	:	:	:	9258	8927	6374	7476	7593	:	:	:	:c
TOTAL,MIO_TKM,BG	:	:	5396	5241	4693	3145	3064	3291	2907	3246	3439	3650
TOTAL,MIO_TKM,CH	:	:	:	:	12265	10565	11074	11526	11061	11812	12313	12431
TOTAL,MIO_TKM,CY	:	:	:	:	:	:	:	:	:	:	:	:z
TOTAL,MIO_TKM,CZ	15092	14866	15779	16304	15437	12791	13770	14316	14267	13965	14575	15261
TOTAL,MIO_TKM,DE	86409	95420	107007	114615	115652	95834	107317	113317	110065	112613	112629	116632
TOTAL,MIO_TKM,DK	2321	1976	1892	1779	1866	1700	2239	2614	2278	2449	2453	2603
TOTAL,MIO_TKM,EE	10488	10639	10418	8430	5943	5947	6638	6271	5129	4722	3256	3117
TOTAL,MIO_TKM,EL	592	613	662	835	786	552	614	352	283	237	311	294
TOTAL,MIO_TKM,ES	12436	11585	11541	11237	10971	7806	8913	9451	9458	9338	10385	11028
TOTAL,MIO_TKM,EU27	:	:	:	448414	439451	360900	390911	419659	:	:	:	:c
TOTAL,MIO_TKM,EU28	:	:	:	451989	442763	363541	393529	422098	:	:	:	:c
TOTAL,MIO_TKM,FI	10105	9706	11060	10434	10777	8872	9750	9395	9275	9470	9597	8468
TOTAL,MIO_TKM,FR	45121	40701	41179	42612	40436	32129	29965	34202	32539	32230	32596	34252
TOTAL,MIO_TKM,HR	2493	2835	3305	3574	3312	2641	2618	2438	2332	2086	2119	2184
TOTAL,MIO_TKM,HU	8749	9090	10167	10048	9874	7673	8809	9118	9230	9722	10158	10010
TOTAL,MIO_TKM,IE	399	303	205	129	103	79	92	105	91	99	100	96
TOTAL,MIO_TKM,IT	22183	22761	24151	25285	23831	17791	18616	19787	20244	19037	20157	20781
TOTAL,MIO_TKM,LI	21	17	18	18	17	10	11	10	10	9	12	13
TOTAL,MIO_TKM,LT	11637	12457	12896	14373	14748	11888	13431	15088	14172	13344	14307	14036
TOTAL,MIO_TKM,LU	559	392	441	574	279	200	323	288	231	218	208	207
TOTAL,MIO_TKM,LV	18618	19779	16831	18313	19581	18725	17179	21410	21867	19532	19441	18906
TOTAL,MIO_TKM,ME	:	:	:	:	:	:	:	:	73	105	94	112
TOTAL,MIO_TKM,MK	:	:	:	:	:	497	525	479	423	421	411	278
TOTAL,MIO_TKM,MT	:	:	:	:	:	:	:	:	:	:	:	:z
TOTAL,MIO_TKM,NL	5831	5865	6289	7216	6984	5578	5925	6378	6142	6078	6169	6545
TOTAL,MIO_TKM,NO	2845	3182	3351	3502	3621	3506	3496	3574	3489	3383	3539	3498
TOTAL,MIO_TKM,PL	52332	49972	53622	54253	52043	43445	48705	53746	48903	50881	50073	50603
TOTAL,MIO_TKM,PT	2282	2422	2430	2586	2549	2174	2313	2322	2421	2290	2434	2688
TOTAL,MIO_TKM,RO	17022	16582	15791	15757	15236	11088	12375	14719	13472	12941	12264	13673
TOTAL,MIO_TKM,SE	20856	21675	22271	23250	22924	20389	23464	22864	22043	20970	21296	20699
TOTAL,MIO_TKM,SI	3149	3245	3373	3603	3520	2817	3421	3752	3470	3799	4110	4175
TOTAL,MIO_TKM,SK	9702	9463	9988	9647	9299	6964	8105	7960	7591	8494	8829	8439
TOTAL,MIO_TKM,TR	9332	9077	9544	9755	10552	10163	11300	11303	11223	10750	11601	10178
TOTAL,MIO_TKM,UK	22552	21427	21919	21265	21077	19171	18576	20974	21444	22401	22143	19342
