unit,tra_cov,geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
MIO_PKM,TOTAL,AT	8095	8262	8514	9687	9620	9713	10172	10606	11188	11345	11433	:
MIO_PKM,TOTAL,BE	8510	8964	9403	10139	10237	:	10498	:	:	:	:	:
MIO_PKM,TOTAL,BG	:	2411	2404	2317	2138	2090	2059	1870	1821	1698	1549	:
MIO_PKM,TOTAL,CH	:	:	:	16456	17223	17800	18320	18115	18277	18801	19119	:
MIO_PKM,TOTAL,CY	:	:	:	:	:	:	:	:	:	:	:	:z
MIO_PKM,TOTAL,CZ	6667	6922	6898	6773	6472	6559	6669	7196	7512	7644	8125	:
MIO_PKM,TOTAL,DE	74944	78735	79098	82428	81206	82837	89316	93918	89450	90978	91050	:
MIO_PKM,TOTAL,DK	5755	5890	5979	6083	5967	6148	6395	6534	6566	6513	6507	:
MIO_PKM,TOTAL,EE	248	257	274	274	249	247	243	235	223	280	286	:
MIO_PKM,TOTAL,EL	1854	1811	1930	1657	1467	1383	958	832	1056	1072	1263	:
MIO_PKM,TOTAL,ES	21047	21519	21236	23336	22742	22044	22645	22170	23660	24915	26018	:
MIO_PKM,TOTAL,EU27	:	373710	390212	:	:	:	:	:	:	:	:	:
MIO_PKM,TOTAL,EU28	:	375032	391785	:	:	:	:	:	:	:	:	:
MIO_PKM,TOTAL,FI	3478	3540	3778	4052	3876	3959	3882	4035	4053	3874	4114	:
MIO_PKM,TOTAL,FR	76884	79809	81961	86516	88610	:	91298	91205	90485	89499	91653	:
MIO_PKM,TOTAL,HR	1227	1322	1573	1769	1802	1711	1457	1080	935	917	941	:
MIO_PKM,TOTAL,HU	:	:	8752	8291	8003	7653	7763	7769	7806	7710	:	:
MIO_PKM,TOTAL,IE	1781	1872	2007	1976	1683	1678	1638	1578	1569	1728	1918	:
MIO_PKM,TOTAL,IT	46144	46439	45985	45767	44404	43349	45944	45753	47707	48881	51121	:
MIO_PKM,TOTAL,LT	280	268	246	258	231	244	269	278	278	270	262	280
MIO_PKM,TOTAL,LU	267	298	316	345	:p	347	349	373	394	366	418	:
MIO_PKM,TOTAL,LV	889	986	975	941	748	741	733	717	721	644	590	:
MIO_PKM,TOTAL,MK	:	:	:	:	155	155	145	99	80	80	177	:
MIO_PKM,TOTAL,MT	:	:	:	:	:	:	:	:	:	:	:	:z
MIO_PKM,TOTAL,NL	14983	15696	15888	:	:	:	:	:	:	:	:	:
MIO_PKM,TOTAL,NO	2709	2820	2861	3020	2970	3076	3076	3092	3260	3440	3555	:
MIO_PKM,TOTAL,PL	17882	18240	19524	19762	18128	17485	17633	17110	16453	15479	17024	:
MIO_PKM,TOTAL,PT	3809	3876	3987	4213	4213	4111	4237	3803	3649	3852	3957	:
MIO_PKM,TOTAL,RO	7960	8065	7417	6877	5975	5248	5044	4518	4352	4971	4910	:
MIO_PKM,TOTAL,SE	8910	9617	10261	11146	11321	11155	11379	11792	11842	12121	12741	:
MIO_PKM,TOTAL,SI	716	724	740	765	773	729	689	659	679	620	628	:
MIO_PKM,TOTAL,SK	2182	2213	2165	2296	2264	2309	2431	2459	2485	2583	3411	:
MIO_PKM,TOTAL,TR	5036	5277	5553	5097	5374	5491	5882	4598	3775	4393	4828	:
MIO_PKM,TOTAL,UK	44642	47297	50474	53002	52765	55831	58462	60783	61950	64711	66594	:
