"name","lon","lat","line","direction"
"3012-Wyœcigi",21.01622,52.16815,"10","os.Górczewska"
"7094-Biblioteka Narodowa",21.006149,52.213331,"33","Kielecka"
"6027-Popiela",20.920542,52.282201,"33","Metro M³ociny"
"7083-Anielewicza",20.98858,52.247634,"33","Kielecka"
"1256-Myœliborska",20.960255,52.316735,"17","Œwiderska"
"6046-al.Reymonta",20.937763,52.275709,"33","Kielecka"
"7090-Nowowiejska",21.004848,52.220582,"33","Kielecka"
"7084-Stawki",20.985354,52.251351,"17","Woronicza"
"3240-Woronicza",21.002873,52.18878,"17","Tarchomin Koœcielny"
"6006-¯eromskiego",20.964158,52.27549,"17","Tarchomin Koœcielny"
"7094-Biblioteka Narodowa",21.006149,52.213331,"17","Woronicza"
"3118-Kielecka",21.003679,52.206809,"33","Metro M³ociny"
"7086-Hala Mirowska",20.995988,52.23862,"10","Wyœcigi"
"3239-Wo³oska",21.001815,52.195718,"17","Woronicza"
"7089-Koszykowa",21.004789,52.222721,"33","Metro M³ociny"
"7083-Anielewicza",20.98858,52.247634,"17","Woronicza"
"6059-Metro M³ociny",20.930104,52.291902,"33","Kielecka"
"6058-Nocznickiego",20.922889,52.284735,"33","Metro M³ociny"
"7086-Hala Mirowska",20.996044,52.238628,"10","os.Górczewska"
"7093-GUS",21.0053,52.216408,"33","Metro M³ociny"
"3002-Rakowiecka",21.021374,52.209337,"10","os.Górczewska"
"1195-Mehoffera",20.944785,52.322483,"17","Tarchomin Koœcielny"
"3002-Rakowiecka",21.021356,52.209244,"10","Wyœcigi"
"6041-W³oœciañska",20.962908,52.266761,"33","Metro M³ociny"
"7006-Metro Politechnika",21.015013,52.219935,"10","Wyœcigi"
"7002-Dw.Centralny",21.001338,52.228647,"17","Tarchomin Koœcielny"
"6026-Bogus³awskiego",20.925094,52.2811,"33","Metro M³ociny"
"6039-pl.Grunwaldzki",20.978276,52.262502,"33","Metro M³ociny"
"6045-Piaski",20.945582,52.271551,"33","Metro M³ociny"
"6075-Park Kaskada",20.96728,52.273477,"17","Woronicza"
"3237-Kulskiego",21.000322,52.201927,"17","Woronicza"
"5010-Sowiñskiego",20.936849,52.225493,"10","Wyœcigi"
"1122-Stare Œwidry",20.965774,52.3132,"17","Œwiderska"
"3005-Park Dreszera",21.024159,52.197016,"10","Zajezdnia Wola"
"5007-os.Wolska",20.955027,52.230759,"10","os.Górczewska"
"5057-Synów Pu³ku",20.916331,52.225343,"10","Królikarnia"
"3012-Wyœcigi",21.01622,52.16815,"10","Bukowiñska"
"7083-Anielewicza",20.989025,52.247178,"17","Tarchomin Koœcielny"
"6014-Cm.W³oski",20.942982,52.297813,"17","Tarchomin Koœcielny"
"7088-rondo ONZ",20.998757,52.232442,"17","Woronicza"
"6039-pl.Grunwaldzki",20.979387,52.262944,"17","Woronicza"
"6005-Metro Marymont",20.972944,52.272008,"17","Woronicza"
"6045-Piaski",20.94564,52.271497,"33","Kielecka"
"7083-Anielewicza",20.989025,52.247178,"33","Metro M³ociny"
"5059-pl.Kasztelañski",20.914953,52.231498,"10","os.Górczewska"
"7091-rondo ""Rados³awa""",20.982137,52.255569,"17","Metro Marymont"
"3009-Metro Wilanowska",21.02275,52.181429,"10","Bukowiñska"
"3011-al.Lotników",21.019627,52.172924,"10","os.Górczewska"
"3228-Metro Pole Mokotowskie",21.007715,52.208639,"33","Kielecka"
"6059-Metro M³ociny",20.929442,52.290107,"33","Metro M³ociny"
"7085-Kino Femina",20.993122,52.242402,"33","Kielecka"
"7093-GUS",21.005225,52.216455,"33","Kielecka"
"3239-Wo³oska",21.001821,52.19499,"17","Tarchomin Koœcielny"
"6008-AWF",20.9563,52.28356,"17","Tarchomin Koœcielny"
"3118-Kielecka",21.003679,52.206809,"17","Woronicza"
"3228-Metro Pole Mokotowskie",21.007622,52.209023,"33","Metro M³ociny"
"7002-Dw.Centralny",21.001595,52.228155,"10","Wyœcigi"
"3240-Woronicza",21.002873,52.18878,"17","Woronicza"
"7088-rondo ONZ",20.998047,52.233816,"33","Metro M³ociny"
"7082-Nowolipki",20.991685,52.244054,"17","Woronicza"
"5002-Wola-Ratusz",20.987916,52.240032,"10","os.Górczewska"
"7090-Nowowiejska",21.004934,52.219832,"33","Metro M³ociny"
"7010-pl.Zbawiciela",21.01817,52.21936,"10","os.Górczewska"
"1507-Tarchomin Koœcielny",20.942707,52.323933,"17","Tarchomin Koœcielny"
"3003-Dworkowa",21.022889,52.204978,"10","Wyœcigi"
"6043-Duracza",20.953052,52.269486,"33","Metro M³ociny"
"7080-Trasa £azienkowska",21.019048,52.217765,"10","Wyœcigi"
"7088-rondo ONZ",20.998047,52.233816,"17","Tarchomin Koœcielny"
"6046-al.Reymonta",20.938693,52.27506,"33","Metro M³ociny"
"6094-ks.Popie³uszki",20.976822,52.266801,"17","Woronicza"
"5009-Reduta Wolska",20.94202,52.226569,"10","Wyœcigi"
"1469-Œwiderska",20.959369,52.310736,"17","Œwiderska"
"3004-Morskie Oko",21.02345,52.202346,"10","Zajezdnia Wola"
"5022-Cm.Prawos³awny",20.94584,52.227416,"10","os.Górczewska"
"5012-Ciep³ownia Wola",20.91819,52.220846,"10","Królikarnia"
"3011-al.Lotników",21.019627,52.172924,"10","Bukowiñska"
"7084-Stawki",20.985965,52.2507,"17","Tarchomin Koœcielny"
"1469-Œwiderska",20.9596,52.310781,"17","Tarchomin Koœcielny"
"7089-Koszykowa",21.004585,52.22333,"17","Woronicza"
"7091-rondo ""Rados³awa""",20.982144,52.255416,"17","Woronicza"
"6042-Park Olszyna",20.958243,52.268011,"33","Kielecka"
"7091-rondo ""Rados³awa""",20.983058,52.254053,"33","Metro M³ociny"
"5060-Czumy",20.914372,52.235443,"10","os.Górczewska"
"6039-pl.Grunwaldzki",20.979296,52.263155,"17","Metro Marymont"
"3008-Bukowiñska",21.02458,52.18608,"10","Bukowiñska"
"7088-rondo ONZ",20.998757,52.232442,"10","Wyœcigi"
"3001-pl.Unii Lubelskiej",21.02111,52.214408,"10","os.Górczewska"
"6042-Park Olszyna",20.957993,52.268119,"33","Metro M³ociny"
"7084-Stawki",20.985965,52.2507,"33","Metro M³ociny"
"6043-Duracza",20.953235,52.269392,"33","Kielecka"
"3003-Dworkowa",21.02294,52.205011,"10","Zajezdnia Wola"
"5034-Bemowo-Ratusz",20.911765,52.239062,"10","os.Górczewska"
"3228-Metro Pole Mokotowskie",21.007715,52.208639,"17","Woronicza"
"7002-Dw.Centralny",21.001338,52.228647,"33","Metro M³ociny"
"7085-Kino Femina",20.99407,52.241365,"10","os.Górczewska"
"6040-Sady ¯oliborskie",20.972655,52.264059,"33","Metro M³ociny"
"3118-Kielecka",21.003679,52.206809,"33","Kielecka"
"7086-Hala Mirowska",20.995988,52.23862,"33","Kielecka"
"6010-Szpital Bielañski",20.952552,52.28776,"17","Tarchomin Koœcielny"
"7089-Koszykowa",21.004585,52.22333,"10","Wyœcigi"
"5003-Okopowa",20.979191,52.236618,"10","os.Górczewska"
"7006-Metro Politechnika",21.016035,52.219933,"10","os.Górczewska"
"3004-Morskie Oko",21.023381,52.202412,"10","Wyœcigi"
"3001-pl.Unii Lubelskiej",21.021098,52.21435,"10","Wyœcigi"
"6024-Aspekt",20.933861,52.278243,"33","Metro M³ociny"
