name,sentence_id,order_id,word
2,WAYMAR,1,1,close
5,WAYMAR,1,4,get
6,WILL,2,0,close
9,WILL,2,3,man
12,GARED,3,1,should
13,GARED,3,2,head
14,GARED,3,3,back
17,GARED,3,6,wall
19,GARED,4,1,orders
22,GARED,4,4,track
24,GARED,4,6,wildlings
26,GARED,4,8,tracked
29,GARED,4,11,won’t
30,GARED,4,12,trouble
36,ROYCE,5,2,think
37,ROYCE,5,3,he’ll
38,ROYCE,5,4,ask
42,ROYCE,5,8,died
43,ROYCE,5,9,get
44,ROYCE,5,10,back
47,ROYCE,5,13,horse
53,WILL,6,5,could
59,WILL,6,11,even
60,WILL,6,12,killed
62,WILL,6,14,children
65,ROYCE,7,2,good
66,ROYCE,7,3,thing
67,ROYCE,7,4,we’re
69,ROYCE,7,6,children
71,ROYCE,7,8,want
73,ROYCE,7,10,run
74,ROYCE,7,11,away
75,ROYCE,7,12,south
76,ROYCE,7,13,run
77,ROYCE,7,14,away
79,ROYCE,7,16,course
82,ROYCE,7,19,behead
86,ROYCE,7,23,deserter
90,ROYCE,7,27,catch
92,ROYCE,7,29,first
93,ROYCE,7,30,get
94,ROYCE,7,31,back
97,ROYCE,7,34,horse
99,ROYCE,7,36,won’t
100,ROYCE,7,37,say
102,ROYCE,7,39,again
104,ROYCE,8,1,dead
105,ROYCE,8,2,men
106,ROYCE,8,3,seem
109,ROYCE,8,6,moved
110,ROYCE,8,7,camp
114,GARED,10,0,see
115,GARED,10,1,where
117,GARED,10,3,went
124,JON,13,2,mother
125,SEPTA,14,0,fine
126,SEPTA,14,1,work
128,SEPTA,14,3,always
129,SEPTA,14,4,well
130,SEPTA,14,5,done
131,SANSA,15,0,thank
134,SEPTA,16,1,love
136,SEPTA,16,3,detail
138,SEPTA,16,5,you’ve
139,SEPTA,16,6,managed
141,SEPTA,16,8,get
144,SEPTA,16,11,corners
145,SEPTA,16,12,quite
146,SEPTA,16,13,beautiful
148,SEPTA,16,15,stitching
156,NED,17,7,marksman
158,NED,17,9,ten
159,NED,17,10,keep
160,NED,17,11,practicing
161,NED,17,12,bran
162,NED,17,13,go
165,JON,18,1,think
166,JON,18,2,too
168,JON,18,4,bran
169,ROBB,19,0,relax
171,ROBB,19,2,bow
172,ROBB,19,3,arm
173,JON,20,0,quick
174,JON,20,1,bran
175,JON,20,2,faster
176,CASSEL,21,0,lord
177,CASSEL,21,1,stark
179,CASSEL,21,3,lady
181,CASSEL,21,5,guardsman
182,CASSEL,21,6,just
183,CASSEL,21,7,rode
187,CASSEL,21,11,hills
188,CASSEL,21,12,they’ve
189,CASSEL,21,13,captured
191,CASSEL,21,15,deserter
194,CASSEL,21,18,night’s
195,CASSEL,21,19,watch
196,NED,22,0,get
198,NED,22,2,lads
200,NED,22,4,saddle
202,NED,22,6,horses
208,NED,24,1,swore
210,NED,24,3,oath
211,NED,24,4,cat
213,CASSEL,25,1,law
215,CASSEL,25,3,law
217,CASSEL,25,5,lady
218,NED,26,0,tell
219,NED,26,1,bran
220,NED,26,2,he’s
221,NED,26,3,coming
222,NED,26,4,too
223,CATELYN,27,0,ned
224,CATELYN,27,1,ten
226,CATELYN,27,3,too
227,CATELYN,27,4,young
229,CATELYN,27,6,see
230,CATELYN,27,7,such
231,CATELYN,27,8,things
232,ROBB,28,0,lad
233,ROBB,28,1,go
234,ROBB,28,2,run
235,ROBB,28,3,back
237,ROBB,28,5,get
239,ROBB,28,7,rest
243,WILL,29,3,broke
245,WILL,29,5,oath
251,WILL,29,11,deserter
253,WILL,29,13,should
255,WILL,29,15,gone
256,WILL,29,16,back
259,WILL,29,19,wall
261,WILL,29,21,warned
265,WILL,29,25,saw
268,WILL,29,28,saw
270,WILL,29,30,saw
272,WILL,29,32,white
273,WILL,29,33,walkers
274,WILL,29,34,people
275,WILL,29,35,need
281,WILL,29,41,get
282,WILL,29,42,word
285,WILL,29,45,family
286,WILL,29,46,tell
290,WILL,29,50,coward
291,WILL,29,51,tell
294,WILL,29,54,sorry
295,WILL,30,0,forgive
297,WILL,30,2,lord
300,NED,31,2,name
302,NED,31,4,robert
305,NED,31,7,house
306,NED,31,8,baratheon
307,NED,31,9,first
310,NED,31,12,name
312,JON,32,1,look
313,JON,32,2,away
314,NED,33,0,king
317,NED,33,3,andals
320,NED,33,6,first
321,NED,33,7,men
322,JON,34,0,father
328,NED,35,0,lord
331,NED,35,3,seven
332,NED,35,4,kingdoms
334,NED,35,6,protector
337,NED,35,9,realm
339,NED,35,11,eddard
342,NED,35,14,house
343,NED,35,15,stark
344,NED,35,16,lord
346,NED,35,18,winterfell
348,NED,35,20,warden
351,NED,35,23,north
352,NED,35,24,sentence
355,NED,35,27,die
358,JON,36,2,well
359,BRAN,37,0,jon
360,BRAN,37,1,said
364,BRAN,37,5,deserter
368,NED,38,3,understand
371,NED,38,6,had
373,NED,38,8,kill
376,BRAN,39,1,way
379,BRAN,39,4,old
380,BRAN,39,5,way
382,NED,40,1,man
384,NED,40,3,passes
386,NED,40,5,sentence
387,NED,40,6,should
388,NED,40,7,swing
390,NED,40,9,sword
393,BRAN,41,2,true
395,BRAN,41,4,saw
397,BRAN,41,6,white
398,BRAN,41,7,walkers
400,NED,42,1,white
401,NED,42,2,walkers
403,NED,42,4,been
404,NED,42,5,gone
406,NED,42,7,thousands
408,NED,42,9,years
412,BRAN,43,3,lying
414,NED,44,1,madman
415,NED,44,2,sees
418,NED,44,5,sees
422,THEON,46,0,mountain
423,THEON,46,1,lion
424,NED,47,0,there
427,NED,47,3,mountain
428,NED,47,4,lions
431,NED,47,7,woods
432,NED,48,0,tough
433,NED,48,1,old
434,NED,48,2,beast
435,ROBB,49,0,there
438,ROBB,49,3,direwolves
439,ROBB,49,4,south
442,ROBB,49,7,wall
443,JON,50,0,now
444,JON,50,1,there
446,JON,50,3,five
448,JON,51,1,want
450,JON,51,3,hold
452,BRAN,52,0,where
455,BRAN,52,3,go
457,BRAN,52,5,mother’s
458,BRAN,52,6,dead
461,CASSEL,53,2,belong
462,CASSEL,53,3,down
464,THEON,54,0,right
465,THEON,54,1,give
469,ROBB,56,0,put
470,ROBB,56,1,away
472,ROBB,56,3,blade
474,THEON,57,1,take
475,THEON,57,2,orders
478,THEON,57,5,father
481,BRAN,58,0,please
482,BRAN,58,1,father
484,NED,59,1,sorry
485,NED,59,2,bran
488,NED,60,2,train
493,NED,60,7,feed
499,NED,60,13,die
502,NED,60,16,bury
511,JON,62,3,stark
512,JON,62,4,get
519,JAIME,64,2,brother
521,JAIME,64,4,feel
524,JAIME,64,7,duty
526,JAIME,64,9,warn
529,JAIME,64,12,worry
530,JAIME,64,13,too
533,JAIME,64,16,starting
535,JAIME,64,18,show
538,CERSEI,65,2,never
539,CERSEI,65,3,worry
545,CERSEI,65,9,seven
547,CERSEI,65,11,jumped
550,CERSEI,65,14,cliffs
552,CERSEI,65,16,casterly
553,CERSEI,65,17,rock
555,CERSEI,65,19,hundred
556,CERSEI,65,20,foot
