"scene","start","mins"
1,112,1
2,170,2
3,184,3
4,208,3
5,215,3
6,601,10
7,630,10
8,952,15
9,1021,17
10,1081,18
11,1086,18
12,1195,19
13,1210,20
14,1236,20
15,1264,21
16,1342,22
17,1356,22
18,1448,24
19,1460,24
20,1916,31
21,1930,32
22,1937,32
23,2033,33
24,2259,37
25,2363,39
26,2407,40
27,2559,42
28,2621,43
29,2700,45
30,2885,48
31,3062,51
32,3240,54
33,3400,56
34,3584,59
35,3595,59
36,3610,60
37,3630,60
38,3650,60
39,3720,62
40,3756,62
41,3775,62
42,3829,63
43,3865,64
44,3995,66
45,4040,67
46,4061,67
47,4160,69
48,4400,73
49,4455,74
50,4571,76
51,4670,77
52,4709,78
53,4844,80
54,4900,81
55,5000,83
56,5183,86
57,5208,86
58,5223,87
59,5225,87
60,5227,87
61,5229,87
62,5305,88
63,5460,91
64,5525,92
65,5655,94
66,5690,94
67,5750,95
68,5820,97
69,5880,98
70,6140,102
71,6215,103
72,6370,106
73,6935,115
74,6990,116
75,7058,117
76,7110,118
77,7147,119
78,7260,121
79,7280,121
80,7340,122
