scena,postac,udzial
16,jack,0.67
16,marla,0.33
16,other,0.0
16,tyler,0.0
26,jack,0.0
26,marla,1.0
26,other,0.0
26,tyler,0.0
28,jack,0.49
28,marla,0.33
28,other,0.19
28,tyler,0.0
29,jack,0.56
29,marla,0.44
29,other,0.0
29,tyler,0.0
30,jack,0.47
30,marla,0.53
30,other,0.0
30,tyler,0.0
69,jack,0.53
69,marla,0.47
69,other,0.0
69,tyler,0.0
74,jack,0.5
74,marla,0.38
74,other,0.0
74,tyler,0.12
77,jack,0.0
77,marla,1.0
77,other,0.0
77,tyler,0.0
78,jack,0.0
78,marla,0.6
78,other,0.4
78,tyler,0.0
79,jack,0.0
79,marla,1.0
79,other,0.0
79,tyler,0.0
81,jack,0.0
81,marla,1.0
81,other,0.0
81,tyler,0.0
91,jack,0.56
91,marla,0.15
91,other,0.05
91,tyler,0.23
94,jack,0.65
94,marla,0.12
94,other,0.24
94,tyler,0.0
95,jack,0.5
95,marla,0.5
95,other,0.0
95,tyler,0.0
96,jack,0.49
96,marla,0.29
96,other,0.23
96,tyler,0.0
121,jack,0.47
121,marla,0.41
121,other,0.0
121,tyler,0.12
133,jack,0.78
133,marla,0.22
133,other,0.0
133,tyler,0.0
148,jack,0.51
148,marla,0.26
148,other,0.0
148,tyler,0.23
160,jack,0.55
160,marla,0.14
160,other,0.32
160,tyler,0.0
161,jack,0.48
161,marla,0.48
161,other,0.05
161,tyler,0.0
166,jack,0.42
166,marla,0.02
166,other,0.0
166,tyler,0.56
173,jack,0.49
173,marla,0.04
173,other,0.0
173,tyler,0.47
