"scena","jack","marla","other","tyler","suma","emocje"
16,0.67,0.33,0,0,3,"radosc"
26,0,1,0,0,1,"smutek"
28,0.49,0.33,0.19,0,43,"smutek"
29,0.56,0.44,0,0,9,"smutek"
30,0.47,0.53,0,0,17,"smutek"
69,0.53,0.47,0,0,19,"smutek"
74,0.5,0.38,0,0.12,8,"smutek"
77,0,1,0,0,5,"radosc"
78,0,0.6,0.4,0,5,"smutek"
79,0,1,0,0,1,"radosc"
81,0,1,0,0,1,"smutek"
91,0.56,0.15,0.05,0.23,39,"radosc"
94,0.65,0.12,0.24,0,17,"radosc"
95,0.5,0.5,0,0,6,"smutek"
96,0.49,0.29,0.23,0,35,"radosc"
121,0.47,0.41,0,0.12,34,"smutek"
133,0.78,0.22,0,0,9,"smutek"
148,0.51,0.26,0,0.23,35,"smutek"
160,0.55,0.14,0.32,0,22,"smutek"
161,0.48,0.48,0.05,0,44,"smutek"
166,0.42,0.02,0,0.56,48,"smutek"
173,0.49,0.04,0,0.47,70,"radosc"
