scena,linia,klucz
16,INT. FIRST METHODIST CHURCH MEETING ROOM - RESUMING,1
16,Jack's still in an embrace with Bob.,1
16,JACK (V.O.),2
16,Bob loved me because he thought my,2
16,testicles were removed too. Being,2
16,"there, my face against his tits,",2
16,ready to cry -- this was my vacation.,2
16,MARLA SINGER enters. She has short matte black hair and,2
16,"big, dark eyes like a character from japanese animation.",2
16,JACK (V.O.),3
16,"And, she ruined everything.",3
16,"Marla looks around, raises a cigarette to her lips.",3
16,MARLA,4
16,"This is cancer, right?",4
16,"Bob and Jack stare, dumbfounded.",4
26,INT. CAVE - JACK'S IMAGINATION,5
26,"Jack finds Marla smoking a cigarette. Marla cocks her head,",5
26,indicating whe wants him to --,5
26,MARLA,6
26,Slide.,6
28,INT. SMALL PROTESTANT CHURCH - LATER,7
28,"Everyone stands and mills about, pairing-off.",7
28,LEADER,8
28,Pick someone special to you tonight.,8
28,Jack sees the ghastly spectre of Chloe ambling towards him.,8
28,"He tries to smile. She smiles with a twisted, dying mouth.",8
28,CHLOE,9
28,"Hello, Mr. Tayler.",9
28,JACK (V.O.),10
28,I never gave my real name at support,10
28,groups.,10
28,JACK,11
28,"Hi, Chloe.",11
28,CHLOE,12
28,We've never actually talked.,12
28,"Chloe's eyes are eerily bright with desperation. Jack, in",12
28,"a sincere attempt at levity, chokes out:",12
28,JACK,13
28,You look good. You ... look ... like,13
28,a pirate.,13
28,"Chloe laughs, a little too much. Jack squeezes out a laugh.",13
28,"Then he sees Marla, off by herself. Someone heads for her.",13
28,JACK,14
28,"Excuse me, I have to...",14
28,Jack gives a quick nod to Chloe and darts towards Marla.,14
28,Chloe watches him go.,14
28,STAY ON JACK AND MARLA as Jack CLAMPS his arms around her.,14
28,He whispers into her ear.,14
28,JACK,15
28,We need to talk.,15
28,MARLA,16
28,Sure.,16
28,JACK,17
28,I'm on to you. You're a faker. You,17
28,aren't dying.,17
28,MARLA,18
28,What?,18
28,JACK,19
28,"Okay, in the Sylvia Plath philosophy",19
28,"way, we're all dying. But you're not",19
28,dying the way Chloe is dying.,19
28,LEADER,20
28,Tell the other person how you feel.,20
28,JACK,21
28,You're a tourist. I saw you at,21
28,"melanoma, tuberculosis and testicular",21
28,cancer.,21
28,MARLA,22
28,And I saw you practicing this...,22
28,JACK,23
28,Practicing what?,23
28,MARLA,24
28,Telling me off. Is it going as well,24
28,as you hoped... ?,24
28,(reads his nametag),24
28,"""... Mr. Taylor.""",24
28,JACK,25
28,I'll expose you.,25
28,MARLA,26
28,Go ahead. I'll expose you.,26
28,LEADER,27
28,Share yourself completely.,27
28,Marla puts her head down on Jack's shoulder as if she were,27
28,crying. Jack pulls her head back up. She deadpans at him.,27
28,JACK,28
28,Why are you doing this?,28
28,MARLA,29
28,"It's cheaper than a movie, and",29
28,there's free coffee.,29
28,JACK,30
28,These are my groups. I was here,30
28,first. I've been coming for a year.,30
28,MARLA,31
28,A year? How'd you manage that?,31
28,JACK,32
28,Anyone who might've noticed either,32
28,died or recovered and never came back.,32
28,LEADER,33
28,Let yourself cry.,33
28,MARLA,34
28,Why do you do it?,34
28,JACK,35
28,I... I don't know. I guess... when,35
28,"people think you're dying, they",35
28,"really listen, instead...",35
28,MARLA,36
28,-- Instead of just waiting for their,36
28,turn to speak.,36
28,JACK,37
28,Yeah.,37
28,"Brief recognition between them, broken as the Leader passes.",37
28,LEADER,38
28,"Quietly, now. Share with each other.",38
28,Jack waits till the Leader's out of earshot.,38
28,JACK,39
28,(warning),39
28,It becomes an addiction.,39
28,MARLA,40
28,Really?,40
28,"Jack sighs, then pulls back.",40
28,JACK,41
28,"Look, I can't cry with a faker",41
28,present.,41
28,MARLA,42
28,Candy-stripe a cancer ward. It's not,42
28,my problem.,42
28,JACK,43
28,Please. Can't we do something... ?,43
28,Marla starts out of the room. Jack follows her.,43
28,LEADER,44
28,"Now, the closing prayer.",44
28,EXT. CHURCH - NIGHT - CONTINUOUS,44
28,"Marla gets to the sidewalk, moving quickly along.",44
28,JACK,45
28,We'll split up the week. You can,45
28,"have lymphoma, tuberculosis and --",45
28,MARLA,46
28,You take tuberculosis. My smoking,46
28,doesn't go over at all.,46
28,JACK,47
28,I think testicular cancer should be,47
28,no contest.,47
28,MARLA,48
28,"Well, technically, I have more of a",48
28,right to be there than you. You,48
28,still have your balls.,48
28,JACK,49
28,You're kidding.,49
28,MARLA,50
28,I don't know -- am I?,50
28,Jack follow Marla into...,50
29,INT. LAUNDROMAT - CONTINUOUS,51
29,Marla walks with authority up to an unwatched DRYER. She,51
29,"takes out clothes, picks out jeans, pants and shirts.",51
29,MARLA,52
29,I'll take the parasites.,52
29,JACK,53
29,You can't have both parasites. You,53
29,can take blood parasites --,53
29,MARLA,54
29,I want brain parasites.,54
29,JACK,55
29,Okay. I'll take blood parasites and,55
29,organic brain dementia --,55
29,MARLA,56
29,I want that.,56
29,JACK,57
29,You can't have the whole brain!,57
29,MARLA,58
29,"So far, you have four and I only have",58
29,two!,58
29,JACK,59
29,"Then, take blood parasites. It's",59
29,yours. Now we each have three.,59
29,Marla gathers the chosen garments and heads out past Jack...,59
29,EXT. SIDEWALK - CONTINUOUS,59
29,"Jack follows, bewildered.",59
29,JACK,60
29,You... left half your clothes.,60
29,HONK! Jack starts. Marla's led him into the street with,60
29,traffic barreling down.,60
29,"Marla walks on, oblivious as CARS screech to a halt, HORNS",60
29,"BLARING. Jack dashes, following...",60
30,INT. THRIFT STORE - CONTINUOUS,61
30,Marla drops the pile of clothes on a counter. An old CLERK,61
30,"sifts through the clothes, begins writing on a pad.",61
30,JACK,62
30,You're selling those?,62
