all_data_2,scena
<h3>INT. FIRST METHODIST CHURCH MEETING ROOM - RESUMING</h3><br><a name='top'></a>,16
Jack's still in an embrace with Bob.,16
<br><b><u>JACK (V.O.)</u>:</b><br>,16
"Bob loved me because he thought my testicles were removed too. Being there, my face against his tits, ready to cry -- this was my vacation. MARLA SINGER enters. She has short matte black hair and big, dark eyes like a character from japanese animation.",16
<br><b><u>JACK (V.O.)</u>:</b><br>,16
"And, she ruined everything. Marla looks around, raises a cigarette to her lips.",16
<br><b><u>MARLA</u>:</b><br>,16
"This is cancer, right? Bob and Jack stare, dumbfounded.<br><a href='#top'>gora strony</a>",16
<h3>INT. CAVE - JACK'S IMAGINATION</h3><br><a name='top'></a>,26
"Jack finds Marla smoking a cigarette. Marla cocks her head, indicating whe wants him to --",26
<br><b><u>MARLA</u>:</b><br>,26
Slide.<br><a href='#top'>gora strony</a>,26
<h3>INT. SMALL PROTESTANT CHURCH - LATER</h3><br><a name='top'></a>,28
"Everyone stands and mills about, pairing-off.",28
<br><b><u>LEADER</u>:</b><br>,28
"Pick someone special to you tonight. Jack sees the ghastly spectre of Chloe ambling towards him. He tries to smile. She smiles with a twisted, dying mouth.",28
<br><b><u>CHLOE</u>:</b><br>,28
"Hello, Mr. Tayler.",28
<br><b><u>JACK (V.O.)</u>:</b><br>,28
I never gave my real name at support groups.,28
<br><b><u>JACK</u>:</b><br>,28
"Hi, Chloe.",28
<br><b><u>CHLOE</u>:</b><br>,28
"We've never actually talked. Chloe's eyes are eerily bright with desperation. Jack, in a sincere attempt at levity, chokes out:",28
<br><b><u>JACK</u>:</b><br>,28
"You look good. You ... look ... like a pirate. Chloe laughs, a little too much. Jack squeezes out a laugh. Then he sees Marla, off by herself. Someone heads for her.",28
<br><b><u>JACK</u>:</b><br>,28
"Excuse me, I have to... Jack gives a quick nod to Chloe and darts towards Marla. Chloe watches him go. STAY ON JACK AND MARLA as Jack CLAMPS his arms around her. He whispers into her ear.",28
<br><b><u>JACK</u>:</b><br>,28
We need to talk.,28
<br><b><u>MARLA</u>:</b><br>,28
Sure.,28
<br><b><u>JACK</u>:</b><br>,28
I'm on to you. You're a faker. You aren't dying.,28
<br><b><u>MARLA</u>:</b><br>,28
What?,28
<br><b><u>JACK</u>:</b><br>,28
"Okay, in the Sylvia Plath philosophy way, we're all dying. But you're not dying the way Chloe is dying.",28
<br><b><u>LEADER</u>:</b><br>,28
Tell the other person how you feel.,28
<br><b><u>JACK</u>:</b><br>,28
"You're a tourist. I saw you at melanoma, tuberculosis and testicular cancer.",28
<br><b><u>MARLA</u>:</b><br>,28
And I saw you practicing this...,28
<br><b><u>JACK</u>:</b><br>,28
Practicing what?,28
<br><b><u>MARLA</u>:</b><br>,28
"Telling me off. Is it going as well as you hoped... ? (reads his nametag) ""... Mr. Taylor.""",28
<br><b><u>JACK</u>:</b><br>,28
I'll expose you.,28
<br><b><u>MARLA</u>:</b><br>,28
Go ahead. I'll expose you.,28
<br><b><u>LEADER</u>:</b><br>,28
Share yourself completely. Marla puts her head down on Jack's shoulder as if she were crying. Jack pulls her head back up. She deadpans at him.,28
<br><b><u>JACK</u>:</b><br>,28
Why are you doing this?,28
<br><b><u>MARLA</u>:</b><br>,28
"It's cheaper than a movie, and there's free coffee.",28
