,scena,postac,udzial
0,16,jack,0.67
1,16,marla,0.33
2,16,other,0.0
3,16,tyler,0.0
4,26,jack,0.0
5,26,marla,1.0
6,26,other,0.0
7,26,tyler,0.0
8,28,jack,0.49
9,28,marla,0.33
10,28,other,0.19
11,28,tyler,0.0
12,29,jack,0.56
13,29,marla,0.44
14,29,other,0.0
15,29,tyler,0.0
16,30,jack,0.47
17,30,marla,0.53
18,30,other,0.0
19,30,tyler,0.0
20,69,jack,0.53
21,69,marla,0.47
22,69,other,0.0
23,69,tyler,0.0
24,74,jack,0.5
25,74,marla,0.38
26,74,other,0.0
27,74,tyler,0.12
28,77,jack,0.0
29,77,marla,1.0
30,77,other,0.0
31,77,tyler,0.0
32,78,jack,0.0
33,78,marla,0.6
34,78,other,0.4
35,78,tyler,0.0
36,79,jack,0.0
37,79,marla,1.0
38,79,other,0.0
39,79,tyler,0.0
40,81,jack,0.0
41,81,marla,1.0
42,81,other,0.0
43,81,tyler,0.0
44,91,jack,0.56
45,91,marla,0.15
46,91,other,0.05
47,91,tyler,0.23
48,94,jack,0.65
49,94,marla,0.12
50,94,other,0.24
51,94,tyler,0.0
52,95,jack,0.5
53,95,marla,0.5
54,95,other,0.0
55,95,tyler,0.0
56,96,jack,0.49
57,96,marla,0.29
58,96,other,0.23
59,96,tyler,0.0
60,121,jack,0.47
61,121,marla,0.41
62,121,other,0.0
63,121,tyler,0.12
64,133,jack,0.78
65,133,marla,0.22
66,133,other,0.0
67,133,tyler,0.0
68,148,jack,0.51
69,148,marla,0.26
70,148,other,0.0
71,148,tyler,0.23
72,160,jack,0.55
73,160,marla,0.14
74,160,other,0.32
75,160,tyler,0.0
76,161,jack,0.48
77,161,marla,0.48
78,161,other,0.05
79,161,tyler,0.0
80,166,jack,0.42
81,166,marla,0.02
82,166,other,0.0
83,166,tyler,0.56
84,173,jack,0.49
85,173,marla,0.04
86,173,other,0.0
87,173,tyler,0.47
