"","scene","person","script","place","daytime","emo","hero"
"1",3,"NICK FURY","NICK FURY"," HELICOPTER PAD ","NIGHT","anger","hero"
"2",3,"NICK FURY","How bad is it?"," HELICOPTER PAD ","NIGHT","anger","hero"
"3",3,"NICK FURY","That's the problem, sir. We don't know."," HELICOPTER PAD ","NIGHT","anger","hero"
"4",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"5",4,"NICK FURY","NASA didn't authorize Selvig to test"," FACILITY FLOOR ","NIGHT","negative","hero"
"6",4,"NICK FURY","phase."," FACILITY FLOOR ","NIGHT","negative","hero"
"7",4,"NICK FURY","He wasn't testing it, he wasn't even in"," FACILITY FLOOR ","NIGHT","negative","hero"
"8",4,"NICK FURY","the room. Spontaneous advancement."," FACILITY FLOOR ","NIGHT","negative","hero"
"9",4,"NICK FURY","It just turned itself on?"," FACILITY FLOOR ","NIGHT","negative","hero"
"10",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"11",4,"NICK FURY","What are the energy levels now?"," FACILITY FLOOR ","NIGHT","negative","hero"
"12",4,"NICK FURY","Climbing. When Selvig couldn't shut it"," FACILITY FLOOR ","NIGHT","negative","hero"
"13",4,"NICK FURY","down, we ordered the evac."," FACILITY FLOOR ","NIGHT","negative","hero"
"14",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"15",4,"NICK FURY","How long to get everyone out?"," FACILITY FLOOR ","NIGHT","negative","hero"
"16",4,"NICK FURY","AGENT PHIL COULSON"," FACILITY FLOOR ","NIGHT","negative","hero"
"17",4,"NICK FURY","Campus should be clear in the next half"," FACILITY FLOOR ","NIGHT","negative","hero"
"18",4,"NICK FURY","hour."," FACILITY FLOOR ","NIGHT","negative","hero"
"19",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"20",4,"NICK FURY","Do better."," FACILITY FLOOR ","NIGHT","negative","hero"
"21",4,"NICK FURY","CONTINUOUSLY HEADING DOWN TO RADIATION FACILITY FLOOR"," FACILITY FLOOR ","NIGHT","negative","hero"
"22",4,"NICK FURY","Sir, evacuation may be futile."," FACILITY FLOOR ","NIGHT","negative","hero"
"23",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"24",4,"NICK FURY","We should tell them to go back to"," FACILITY FLOOR ","NIGHT","negative","hero"
"25",4,"NICK FURY","sleep?"," FACILITY FLOOR ","NIGHT","negative","hero"
"26",4,"NICK FURY","If we can't control the Tesseract's"," FACILITY FLOOR ","NIGHT","negative","hero"
"27",4,"NICK FURY","energy, there may not be a minimum safe"," FACILITY FLOOR ","NIGHT","negative","hero"
"28",4,"NICK FURY","distance."," FACILITY FLOOR ","NIGHT","negative","hero"
"29",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"30",4,"NICK FURY","I need you to make sure that PHASE 2"," FACILITY FLOOR ","NIGHT","negative","hero"
"31",4,"NICK FURY","prototypes are shipped out."," FACILITY FLOOR ","NIGHT","negative","hero"
"32",4,"NICK FURY","NICK FURY"," FACILITY FLOOR ","NIGHT","negative","hero"
"33",4,"NICK FURY","Until such time as the world ends, we"," FACILITY FLOOR ","NIGHT","negative","hero"
"34",4,"NICK FURY","will act as though it intends to spin"," FACILITY FLOOR ","NIGHT","negative","hero"
"35",4,"NICK FURY","on. Clear out the tech below. Every"," FACILITY FLOOR ","NIGHT","negative","hero"
"36",4,"NICK FURY","piece of PHASE 2 on a truck and gone."," FACILITY FLOOR ","NIGHT","negative","hero"
