season;episode;url
1;1;https://genius.com/Game-of-thrones-winter-is-coming-annotated
1;2;https://genius.com/Game-of-thrones-the-kingsroad-annotated
1;3;https://genius.com/Game-of-thrones-lord-snow-annotated
1;4;https://genius.com/Game-of-thrones-cripples-bastards-and-broken-things-annotated
1;5;https://genius.com/Game-of-thrones-the-wolf-and-the-lion-annotated
1;6;https://genius.com/Game-of-thrones-a-golden-crown-annotated
1;7;https://genius.com/Game-of-thrones-you-win-or-you-die-annotated
1;8;https://genius.com/Game-of-thrones-the-pointy-end-annotated
1;9;https://genius.com/Game-of-thrones-baelor-annotated
1;10;https://genius.com/Game-of-thrones-fire-and-blood-annotated
2;1;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7872
2;2;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7914
2;3;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7915
2;4;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7916
2;5;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7917
2;6;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7918
2;7;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7919
2;8;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7920
2;9;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7921
2;10;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7922
3;1;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7885
3;2;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7913
3;3;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7912
3;4;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7911
3;5;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7910
3;6;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7883
3;7;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7878
3;8;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7875
3;9;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7865
3;10;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=7882
4;1;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=10931
4;2;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=10964
4;3;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=10989
4;4;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11010
4;5;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11025
4;6;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11043
4;7;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11054
4;8;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11101
4;9;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11127
4;10;http://transcripts.foreverdreaming.org/viewtopic.php?f=67&t=11139
5;1;https://genius.com/Game-of-thrones-the-wars-to-come-script-annotated
5;2;https://genius.com/Game-of-thrones-the-house-of-black-and-white-annotated
5;3;https://genius.com/Game-of-thrones-high-sparrow-script-annotated
5;4;https://genius.com/Game-of-thrones-sons-of-the-harpy-script-annotated
5;5;https://genius.com/Game-of-thrones-kill-the-boy-script-annotated
5;6;https://genius.com/Game-of-thrones-unbowed-unbent-unbroken-script-annotated
5;7;https://genius.com/Game-of-thrones-the-gift-script-annotated
5;8;https://genius.com/Game-of-thrones-hardhome-script-annotated
5;9;https://genius.com/Game-of-thrones-the-dance-of-dragons-script-annotated
5;10;https://genius.com/Game-of-thrones-mothers-mercy-script-annotated
6;1;https://genius.com/Game-of-thrones-the-red-woman-script-annotated
6;2;https://genius.com/Game-of-thrones-home-script-annotated
6;3;https://genius.com/Game-of-thrones-oathbreaker-script-annotated
6;4;https://genius.com/Game-of-thrones-book-of-the-stranger-script-annotated
6;5;https://genius.com/Game-of-thrones-the-door-script-annotated
6;6;https://genius.com/Game-of-thrones-blood-of-my-blood-script-annotated
6;7;https://genius.com/Game-of-thrones-the-broken-man-script-annotated
6;8;https://genius.com/Game-of-thrones-no-one-script-annotated
6;9;https://genius.com/Game-of-thrones-battle-of-the-bastards-script-annotated
6;10;https://genius.com/Game-of-thrones-the-winds-of-winter-script-annotated
