"Character" "x"
"1" "BRETT" 1
"2" "BUDDY" 0
"3" "BUTCH" 6
"4" "CAPT. KOONS" 0
"5" "ED SULLIVAN" 0
"6" "ENGLISH DAVE" 0
"7" "ESMARELDA" 0
"8" "FABIENNE" 1
"9" "FOURTH MAN" 0
"10" "GAWKER #1" 0
"11" "GAWKER #2" 0
"12" "HONEY BUNNY" 8
"13" "JIMMIE" 6
"14" "JODY" 2
"15" "JULES" 55
"16" "KLONDIKE" 0
"17" "LANCE" 18
"18" "LANCE AND VINCENT" 1
"19" "LOOKY-LOO WOMAN" 0
"20" "MANAGER" 0
"21" "MARSELLUS" 8
"22" "MARVIN" 0
"23" "MAYNARD" 0
"24" "MIA" 1
"25" "MIA (V.O.)" 0
"26" "MOTHER" 0
"27" "PATRON" 0
"28" "PEDESTRIAN" 0
"29" "PREACHER (EMIL SIMKUS)" 0
"30" "PUMPKIN" 13
"31" "RAQUEL" 0
"32" "ROGER" 0
"33" "SPORTSCASTER #1" 0
"34" "SPORTSCASTER #2" 0
"35" "THE GIMP" 0
"36" "THE WOLF" 5
"37" "TRUDI" 0
"38" "VINCENT" 33
"39" "WAITRESS" 0
"40" "WINSTON" 0
"41" "WOMAN'S VOICE" 0
"42" "YOLANDA" 0
"43" "ZED" 0
