"hero";"quote";"id";"scene_nr";"scene_title";"episode_nr";"episode_title"
"ANAKIN";" (subtitled) Mel tassa cho-passa... (I was cleaning the bin like you...)";1128;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Are you an angel?";1146;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" An angel. I've heard the deep space pilots talk about them. They live on the Moons of Iego I thimk. They are the most beautiful creatures in the universe. They are good and kind, and so pretty they make even the most hardened spice pirate cry.";1148;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" You must be one...maybe you just don't know it.";1156;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Since I was very little, three, I think. My Mom and I were sold to Gardulla the Hutt, but she lost us, betting on the Podraces, to Watto, who's a lot better master than Gardulla, I think.";1158;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" I am a person! My name is Anakin.";1165;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" You are a strange girl to me.";1171;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (Cont'd) Hit the nose!";1177;52;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" ...wouldn't have lasted long if I weren't so good at fixing things. I'm making my own droid...";1210;54;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" ...Anakin.";1217;54;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Anakin Skywalker.";1219;54;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" I'm glad I met you too.";1224;54;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (subtitled) La lova num botaffa. (They seemed nice to me.) WATTO : (subtitled) Fweepa niaga. Tolpa da bunky dunko. (Clean the racks, then you can go home.)";1231;54;" WATTO'S JUNK SHOP - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (V.O) Because you're afraid.";1284;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (subtitled) Chess ko, Sebulba...Coo wolpa tooney rana. (Careful, Sebulba...This one's very connected.)";1289;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (subtitled) Oh da Hutt...cha porko ootman geesa...me teesa rodda co pana pee choppa chawa. (As in Hutt...big time outlander, this one... I'd hate to see you diced before we race again.)";1296;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (subtitled) Eh, chee bana do mullee ra. (Yeah, it'd be a pity if you had to pay for me.)";1305;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (Cont'd) Hi! Your buddy here was about to be turned into orange goo. He picked a fight with a Dug. An especially dangerous Dug called Sebulba.";1310;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Fear attracts the fearful. He was trying to overcome his fear by squashing you...be less afraid.";1321;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" To a point. (he smiles)";1324;56;" MOS ESPA - STREET - MARKET - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" How are you feeling today, Jira?";1343;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Guess what? I've found that cooling unit I've been searching for. It's pretty beat up, but I'll have it fixed up for you in no time, I promise.";1345;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" I'll take four pallies today. (to Padme) You'll like these...";1349;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (Cont'd) Whoops, I thought I had more...Make thgat three, I'm not hungry.";1354;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" (to QUI-GON) Do you have shelter?";1362;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Is it far?";1364;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" You'll never reach the outskirts in time...sandstorms are very, very dangerous. Come with me. Hurry!";1366;58;" MOS ESPA - STREET - FRUIT STAND - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" Mom! Mom! I'm home.";1380;60;" ANAKIN'S HOVEL - MAIN ROOM - DAY";1;"Star Wars: Episode I - The Phantom Menace"
"ANAKIN";" These are my friends, Mom. This is Padme, and...gee, I don't know any of your names.";1387;60;" ANAKIN'S HOVEL - MAIN ROOM - DAY";1;"Star Wars: Episode I - The Phantom Menace"
