"","name","dialog","scene","start","end","subs"
"1","!","BLACK SCREEN

SUPER: New Line Cinema Presents

SUPER: A Wingnut Films Production

BLACK CONTINUES... ELVISH SINGING....A WOMAN'S VOICE IS
whispering, tinged with SADNESS and REGRET:
","",0,0,""
"2","GALADRIEL","I amar prestar sen: han mathon ne nen, han mathon ne chae...a han noston ned wilith. The world is changed: I feel it in the water, I feel it in the earth, I smell it in the air...Much that once was is lost, for none now live who remember it.","",31.1,56.6,"I amar prestar aen. The world is changed. Han mathon ne nen. I feel it in the water. Han mathon ne chae. I feel it in the earth. A han noston ned 'wilith. I smell it in the air. Much that once was... ...is lost. For none now live who remember it."
"3","!","SUPER: THE LORD OF THE RINGS

EXT. PROLOGUE -- DAY

IMAGE: FLICKERING FIRELIGHT. The NOLDORIN FORGE in EREGION.
MOLTEN GOLD POURS from the lip of an IRON LADLE.
","",0,0,""
"4","GALADRIEL","It began with the forging of the Great Rings.","",69.6,73.8,"It began with the forging of the great rings."
"5","!","IMAGE: THREE RINGS, each set with a single GEM, are received
by the HIGH ELVES-GALADRIEL, GIL-GALAD and CIRDAN.
","",0,0,""
"6","GALADRIEL","Three were given to the Elves, immortal, wisest...fairest of all beings.","",74.1,79.9,"Three were given to the elves: Immortal, wisest and fairest of all beings."
"7","!","IMAGE: SEVEN RINGS held aloft in triumph by the DWARF LORDS.
","",0,0,""
"8","GALADRIEL","Seven to the Dwarf Lords, great miners and craftsmen of the mountain halls.","",81.4,88.2,"Seven to the dwarf-lords: Great miners and craftsmen of the mountain halls."
"9","!","IMAGE: NINE RINGS clutched tightly by the KINGS OF MEN...as
if holding-close a precious secret.
","",0,0,""
"10","GALADRIEL","And Nine...nine rings were gifted to the race of Men who, above all else, desire power.","",88.8,97.2,"And nine... ...nine rings were gifted to the race of men... ...who, above all else, desire power."
"11","!","CONTINUED:","",0,0,""
"12","GALADRIEL","For within these rings was bound the strength and will to govern each race.","",98.4,103.4,"For within these rings was bound the strength and will to govern each race."
"13","!","","",0,0,""
"14","GALADRIEL","But they were all of them deceived.","",105.2,108.2,"But they were all of them deceived."
"15","!","FADE UP: An ancient PARCHMENT MAP of MIDDLE EARTH...moving
slowly across the MAP as if drawn by an unseen force the
CAMERA closes in on a PLACE NAME...MORDOR.
","",0,0,""
"16","GALADRIEL","...for another ring was made.","",108.6,110.6,"For another ring was made."
"17","!","TEASING SHOTS: SAURON forging the ONE RING in the CHAMBERS of
SAMMATH NAUR.
","",0,0,""
"18","GALADRIEL","In the land of Mordor, in the fires of Mount Doom, the Dark Lord Sauron forged in secret a Master Ring to control all others.","",111.5,122.1,"In the land of Mordor, in the fires of Mount Doom... ...the Dark Lord Sauron forged in secret a master ring... ...to control all others."
"19","!","IMAGE: The ONE RING reflecting FIERY LAVA!   FIRE WRITING
emerges on the plain BAND OF GOLD.
","",0,0,""
"20","GALADRIEL","...and into this Ring he poured his cruelty, his malice and his will to dominate all life.","",122.4,130.6,"And into this ring he poured his cruelty, his malice... ...and his will to dominate all life."
"21","!","IMAGE: THE ONE RING falls through SPACE and into flames...
","",0,0,""
"22","GALADRIEL","One Ring to rule them all...","",131.8,135.5,"One Ring to rule them all."
"23","!","IMAGE: A GREAT SHADOW falls across the MAP...closing in
around the realm of GONDOR...

IMAGE: SCREAMING VILLAGERS, MEN, WOMEN, AND CHILDREN, RUN

from their homes, pursued by ARMIES OF HIDEOUS ORCS.
","",0,0,""
"24","GALADRIEL","One by one the Free lands of Middle earth fell to the power of the ring.","",136.5,142.8,"One by one... ...the free lands of Middle-earth fell to the power of the ring."
"25","!","","",0,0,""
"26","GALADRIEL","But there were some...who resisted.","",143.2,146.1,"But there were some who resisted."
"27","!","CONTINUED:


FADE UP: ISILDUR, son of the KING OF GONDOR, leads an ARMY
ACROSS the PLAINS OF DAGORLAD...
","",0,0,""
"28","GALADRIEL","A last alliance of Men and Elves marched against the armies of Mordor.","",146.8,151.2,"A last alliance of men and elves marched against the armies of Mordor."
"29","!","","",0,0,""
